Time,ax,ay,az,gx,gy ,gz ,r ,p,y,manual,heart
77,0.996,0.072,0.232,-9.32,-0.77,-6.4,-76.299,17.243,0,0,242
98,1.008,0.044,0.224,-12.87,0.97,-12.87,-77.245,11.114,35.96,0,314
118,0.996,0.032,0.24,-12.66,0.28,-18.85,-76.342,7.595,35.88,0,352
140,0.976,0.016,0.248,-9.6,-2.16,-21.63,-75.72,3.692,35.965,0,382
160,0.968,0.024,0.24,-10.09,-2.78,-18.85,-76.014,5.711,36.383,0,377
181,0.976,0.008,0.268,-1.46,-6.61,-17.46,-74.645,1.71,36.561,0,285
202,0.996,0.028,0.272,-2.99,-5.98,-16.9,-75.673,10.785,36.561,0,237
223,1.012,0.064,0.232,-10.92,-1.39,-16.83,-76.856,20.899,36.561,0,230
243,0.996,0.084,0.22,-14.68,-0.7,-16.14,-76.467,21.803,36.561,0,213
265,0.964,0.08,0.232,-12.87,-2.85,-15.37,-75.723,19.027,36.561,0,240
285,0.948,0.088,0.236,-11.97,-4.73,-12.8,-75.126,20.451,37.587,0,322
307,0.944,0.092,0.2,-15.03,-5.63,-9.46,-76.879,24.704,38.256,0,368
327,0.976,0.124,0.188,-13.22,-6.47,-6.12,-77.012,33.41,38.312,0,389
348,1.032,0.124,0.144,-1.32,3.97,-8.56,-79.572,40.735,38.375,0,400
369,1.052,0.148,0.268,1.46,9.81,-9.95,-70.852,22.622,38.466,0,292
390,1.04,0.116,0.336,-7.44,14.96,-8.56,-73.687,18.678,38.466,0,286
410,1,0.084,0.252,-15.03,13.77,-8,-74.338,14.445,38.466,0,388
432,0.936,0.068,0.276,-8.7,5.84,-11.62,-73.112,13.842,38.466,0,264
452,0.928,0.124,0.296,-2.5,-1.25,-13.29,-70.929,22.731,38.466,0,226
473,0.948,0.176,0.232,4.17,0.07,-9.53,-72.93,37.187,38.888,0,396
494,0.948,0.18,0.232,-4.45,4.24,-9.53,-72.795,37.809,39.581,0,440
515,0.944,0.124,0.212,-9.11,10.02,-13.63,-75.422,30.326,39.733,0,484
536,0.904,0.132,0.188,-10.16,12.45,-16.28,-73.635,35.642,40.059,0,501
557,0.896,0.168,0.24,-9.46,10.78,-15.79,-71.842,35.631,40.08,0,415
577,0.912,0.184,0.244,-6.82,9.81,-16.49,-72.341,38.907,40.08,0,369
599,0.92,0.156,0.24,-10.23,8.07,-18.64,-72.723,33.026,40.08,0,355
619,0.92,0.124,0.248,-7.72,4.73,-16.77,-73.233,26.567,40.08,0,340
640,0.904,0.168,0.244,-3.41,2.71,-12.17,-71.861,34.551,40.08,0,348
661,0.912,0.216,0.232,-4.66,3.69,-7.51,-70.839,42.958,40.85,0,419
681,0.928,0.196,0.268,-4.38,2.37,-4.52,-70.319,36.182,41.75,0,432
702,0.932,0.176,0.276,-3.69,1.95,-0.63,-70.653,32.527,42.091,0,443
723,0.94,0.192,0.26,-7.93,3.69,2.99,-72.076,37.617,42.106,0,456
744,0.98,0.192,0.252,-11.2,4.24,3.55,-70.992,36.472,42.207,0,390
764,0.996,0.196,0.256,-11.9,7.17,3.2,-72.464,38.323,42.207,0,339
786,0.98,0.212,0.264,-12.24,7.03,5.5,-70.945,38.768,42.207,0,324
806,0.956,0.232,0.264,-14.05,7.86,8.97,-69.82,41.312,42.207,0,301
827,0.928,0.264,0.244,-20.03,9.81,12.45,-68.83,47.258,42.207,0,315
848,0.928,0.248,0.244,-19.48,10.16,13.36,-69.454,45.469,42.202,0,462
869,0.936,0.204,0.26,-13.84,8.83,16.49,-70.558,38.121,41.635,0,533
890,0.952,0.192,0.276,-13.08,5.5,9.32,-70.238,31.306,41.489,0,583
911,0.972,0.164,0.304,-13.01,2.92,2.23,-69.959,26.567,41.085,0,622
931,0.944,0.148,0.328,-3.41,-0.56,-0.07,-67.576,23.597,40.883,0,637
952,0.904,0.144,0.368,-1.11,0.35,3.69,-66.393,21.372,40.831,0,593
973,0.904,0.152,0.368,0.63,0.28,4.59,-66.234,22.444,40.831,0,554
994,0.952,0.164,0.356,1.32,1.95,5.84,-67.627,24.736,40.831,0,495
1014,0.952,0.16,0.348,-0.83,3.76,7.23,-68.089,24.693,40.831,0,464
1036,0.932,0.116,0.34,6.33,1.46,5.22,-68.926,18.84,40.831,0,525
1056,0.92,0.116,0.348,9.25,0.56,3.41,-68.581,21.449,40.747,0,549
1077,0.912,0.156,0.308,10.02,1.25,6.05,-69.811,28.991,40.587,0,563
1098,0.924,0.164,0.288,9.74,1.6,6.61,-70.023,30.502,40.631,0,619
1119,0.924,0.176,0.28,7.3,-0.56,8.07,-70.312,32.155,40.835,0,630
1139,0.932,0.176,0.272,-0.63,-1.95,13.15,-70.837,32.908,40.83,0,302
1161,0.94,0.168,0.224,0.97,-4.31,14.26,-73.418,36.873,40.83,0,376
