ESP32_Data,Manual
"110600003,ECG,,,,,,,,,2252",0
"110605274,IMU,-0.055,-0.113,0.874,1.670,4558.957,3.130,89.811,-45.008,69.183",0
"110605966,ECG,,,,,,,,,2253",0
"110606295,ECG,,,,,,,,,2253",0
"110606453,ECG,,,,,,,,,2254",0
"110608000,ECG,,,,,,,,,2250",0
"110610001,ECG,,,,,,,,,2247",0
"110612002,ECG,,,,,,,,,2238",0
"110614000,ECG,,,,,,,,,2221",0
"110616001,ECG,,,,,,,,,2215",0
"110618002,ECG,,,,,,,,,2203",0
"110625089,IMU,-0.058,-0.113,0.874,1.809,0.209,3.130,89.811,-45.010,68.358",0
"110625769,ECG,,,,,,,,,2220",0
"110626089,ECG,,,,,,,,,2222",0
"110626257,ECG,,,,,,,,,2222",0
"110626411,ECG,,,,,,,,,2222",0
"110628004,ECG,,,,,,,,,2222",0
"110630000,ECG,,,,,,,,,2222",0
"110632001,ECG,,,,,,,,,2215",0
"110634002,ECG,,,,,,,,,2200",0
"110636003,ECG,,,,,,,,,2186",0
"110638000,ECG,,,,,,,,,2184",0
"110640001,ECG,,,,,,,,,2176",0
"110645271,IMU,-0.058,-0.109,0.870,2.365,0.139,3.061,89.812,-45.008,68.607",0
"110645953,ECG,,,,,,,,,2236",0
"110646291,ECG,,,,,,,,,2203",0
"110646450,ECG,,,,,,,,,2205",0
"110648001,ECG,,,,,,,,,2207",0
"110650002,ECG,,,,,,,,,2205",0
"110652004,ECG,,,,,,,,,2203",0
"110654000,ECG,,,,,,,,,2191",0
"110656002,ECG,,,,,,,,,2190",0
"110658001,ECG,,,,,,,,,2187",0
"110660002,ECG,,,,,,,,,2188",0
"110665271,IMU,-0.055,-0.113,0.866,2.574,4558.957,3.061,89.812,-45.009,68.513",0
"110665963,ECG,,,,,,,,,2216",0
"110666283,ECG,,,,,,,,,2215",0
"110666429,ECG,,,,,,,,,2216",0
"110668000,ECG,,,,,,,,,2216",0
"110670002,ECG,,,,,,,,,2208",0
"110672000,ECG,,,,,,,,,2204",0
"110674001,ECG,,,,,,,,,2199",0
"110676002,ECG,,,,,,,,,2199",0
"110678003,ECG,,,,,,,,,2199",0
"110680000,ECG,,,,,,,,,2201",0
"110685270,IMU,-0.055,-0.105,0.870,2.157,4558.887,2.783,89.812,-45.009,67.868",0
"110685969,ECG,,,,,,,,,2223",0
"110686297,ECG,,,,,,,,,2222",0
"110686451,ECG,,,,,,,,,2230",0
"110688003,ECG,,,,,,,,,2222",0
"110690000,ECG,,,,,,,,,2219",0
"110692002,ECG,,,,,,,,,2214",0
