ESP32_Data,Manual
"53006000,ECG,,,,,,,,,1979",0
"53008003,ECG,,,,,,,,,1821",0
"53010003,ECG,,,,,,,,,1688",0
"53012003,ECG,,,,,,,,,1580",0
"53019072,IMU,0.920,0.027,0.328,0.000,4558.470,2.922,4.764,-70.350,37.011",0
"53019742,ECG,,,,,,,,,1550",0
"53020084,ECG,,,,,,,,,1552",0
"53020235,ECG,,,,,,,,,1562",0
"53020399,ECG,,,,,,,,,1565",0
"53022003,ECG,,,,,,,,,1611",0
"53024003,ECG,,,,,,,,,1676",0
"53026003,ECG,,,,,,,,,1756",0
"53028003,ECG,,,,,,,,,1833",0
"53030003,ECG,,,,,,,,,1897",0
"53032003,ECG,,,,,,,,,1963",0
"53039071,IMU,0.924,0.031,0.335,0.000,4558.331,2.296,5.315,-69.982,36.901",0
"53039716,ECG,,,,,,,,,2332",0
"53040023,ECG,,,,,,,,,2336",0
"53040169,ECG,,,,,,,,,2346",0
"53040326,ECG,,,,,,,,,2346",0
"53042000,ECG,,,,,,,,,2392",0
"53044001,ECG,,,,,,,,,2396",0
"53046001,ECG,,,,,,,,,2366",0
"53048002,ECG,,,,,,,,,2331",0
"53050002,ECG,,,,,,,,,2300",0
"53052002,ECG,,,,,,,,,2284",0
"53054002,ECG,,,,,,,,,2283",0
"53059227,IMU,0.936,0.051,0.328,3.826,4.313,1.322,8.798,-70.503,36.901",0
"53059892,ECG,,,,,,,,,2300",0
"53060214,ECG,,,,,,,,,2299",0
"53060369,ECG,,,,,,,,,2299",0
"53062000,ECG,,,,,,,,,2302",0
"53064000,ECG,,,,,,,,,2301",0
"53066000,ECG,,,,,,,,,2302",0
"53068000,ECG,,,,,,,,,2302",0
"53070000,ECG,,,,,,,,,2302",0
"53072001,ECG,,,,,,,,,2301",0
"53074001,ECG,,,,,,,,,2303",0
"53079225,IMU,0.932,0.058,0.347,4558.748,4.939,0.139,9.567,-69.317,36.901",0
"53079919,ECG,,,,,,,,,2303",0
"53080238,ECG,,,,,,,,,2302",0
"53080390,ECG,,,,,,,,,2302",0
"53082002,ECG,,,,,,,,,2301",0
"53084002,ECG,,,,,,,,,2300",0
"53086002,ECG,,,,,,,,,2301",0
"53088002,ECG,,,,,,,,,2303",0
"53090002,ECG,,,,,,,,,2313",0
"53092002,ECG,,,,,,,,,2315",0
"53094002,ECG,,,,,,,,,2314",0
"53099232,IMU,0.932,0.027,0.347,1.948,10.087,0.278,4.497,-69.523,36.901",0
"53099924,ECG,,,,,,,,,2315",0
"53100236,ECG,,,,,,,,,2315",0
"53100402,ECG,,,,,,,,,2315",0
"53102002,ECG,,,,,,,,,2315",0
"53104002,ECG,,,,,,,,,2318",0
"53106002,ECG,,,,,,,,,2328",0
"53108003,ECG,,,,,,,,,2328",0
"53110000,ECG,,,,,,,,,2330",0
"53112000,ECG,,,,,,,,,2334",0
"53114001,ECG,,,,,,,,,2335",0
"53119228,IMU,0.920,0.020,0.328,4557.287,13.148,4557.913,3.407,-70.381,36.901",0
"53119927,ECG,,,,,,,,,2348",0
"53120248,ECG,,,,,,,,,2348",0
"53120406,ECG,,,,,,,,,2347",0
"53122001,ECG,,,,,,,,,2348",0
"53124000,ECG,,,,,,,,,2360",0
"53126000,ECG,,,,,,,,,2361",0
"53128001,ECG,,,,,,,,,2363",0
"53130001,ECG,,,,,,,,,2368",0
"53132001,ECG,,,,,,,,,2379",0
"53134001,ECG,,,,,,,,,2383",0
"53139227,IMU,0.909,0.008,0.343,4557.148,13.217,0.696,1.302,-69.310,36.783",0
"53139920,ECG,,,,,,,,,2395",0
"53140239,ECG,,,,,,,,,2396",0
"53140396,ECG,,,,,,,,,2397",0
"53142001,ECG,,,,,,,,,2408",0
"53144002,ECG,,,,,,,,,2413",0
"53146002,ECG,,,,,,,,,2424",0
"53148002,ECG,,,,,,,,,2428",0
"53150002,ECG,,,,,,,,,2442",0
"53152002,ECG,,,,,,,,,2444",0
"53154002,ECG,,,,,,,,,2455",0
"53159230,IMU,0.913,0.027,0.324,4558.539,12.313,2.783,4.821,-70.411,37.323",0
"53159933,ECG,,,,,,,,,2455",0
"53160255,ECG,,,,,,,,,2446",0
"53160417,ECG,,,,,,,,,2448",0
"53162003,ECG,,,,,,,,,2455",0
"53164004,ECG,,,,,,,,,2457",0
"53166000,ECG,,,,,,,,,2459",0
"53168000,ECG,,,,,,,,,2461",0
"53170001,ECG,,,,,,,,,2460",0
"53172001,ECG,,,,,,,,,2462",0
"53174001,ECG,,,,,,,,,2464",0
"53179228,IMU,0.916,0.020,0.347,2.226,9.948,2.922,3.216,-69.232,37.444",0
"53179912,ECG,,,,,,,,,2486",0
"53180229,ECG,,,,,,,,,2487",0
"53180394,ECG,,,,,,,,,2478",0
"53182004,ECG,,,,,,,,,2491",0
"53184001,ECG,,,,,,,,,2495",0
"53186001,ECG,,,,,,,,,2506",0
"53188001,ECG,,,,,,,,,2520",0
"53190001,ECG,,,,,,,,,2522",0
"53192001,ECG,,,,,,,,,2524",0
"53194001,ECG,,,,,,,,,2527",0
"53199226,IMU,0.924,0.008,0.347,2.783,9.670,3.339,1.287,-69.418,37.519",0
"53199895,ECG,,,,,,,,,2554",0
"53200219,ECG,,,,,,,,,2554",0
"53200374,ECG,,,,,,,,,2554",0
"53202001,ECG,,,,,,,,,2560",0
"53204001,ECG,,,,,,,,,2575",0
"53206001,ECG,,,,,,,,,2588",0
"53208001,ECG,,,,,,,,,2602",0
"53210001,ECG,,,,,,,,,2616",0
"53212001,ECG,,,,,,,,,2620",0
"53214002,ECG,,,,,,,,,2632",0
"53219236,IMU,0.916,0.004,0.363,3.130,7.374,4.383,0.616,-68.413,37.475",0
"53219915,ECG,,,,,,,,,2653",0
"53220231,ECG,,,,,,,,,2654",0
"53220394,ECG,,,,,,,,,2653",0
"53222000,ECG,,,,,,,,,2664",0
"53224000,ECG,,,,,,,,,2667",0
"53226000,ECG,,,,,,,,,2680",0
"53228000,ECG,,,,,,,,,2686",0
"53230001,ECG,,,,,,,,,2700",0
"53232001,ECG,,,,,,,,,2712",0
"53234001,ECG,,,,,,,,,2718",0
