ESP32_Data,Manual
"58468001,ECG,,,,,,,,,2264",0
"58470000,ECG,,,,,,,,,2265",0
"58472000,ECG,,,,,,,,,2264",0
"58474002,ECG,,,,,,,,,2264",0
"58476000,ECG,,,,,,,,,2263",0
"58482077,IMU,1.002,0.043,0.090,1.322,0.417,2.783,25.562,-84.341,32.943",0
"58482764,ECG,,,,,,,,,2253",0
"58483091,ECG,,,,,,,,,2256",0
"58483246,ECG,,,,,,,,,2265",0
"58484004,ECG,,,,,,,,,2264",0
"58486001,ECG,,,,,,,,,2264",0
"58488001,ECG,,,,,,,,,2256",0
"58490001,ECG,,,,,,,,,2263",0
"58492002,ECG,,,,,,,,,2264",0
"58494002,ECG,,,,,,,,,2264",0
"58496002,ECG,,,,,,,,,2268",0
"58502072,IMU,1.002,0.039,0.101,0.904,0.139,3.130,21.039,-83.820,32.943",0
"58502721,ECG,,,,,,,,,2279",0
"58503030,ECG,,,,,,,,,2279",0
"58503176,ECG,,,,,,,,,2282",0
"58504002,ECG,,,,,,,,,2280",0
"58506003,ECG,,,,,,,,,2283",0
"58508000,ECG,,,,,,,,,2281",0
"58510001,ECG,,,,,,,,,2285",0
"58512001,ECG,,,,,,,,,2297",0
"58514001,ECG,,,,,,,,,2296",0
"58516002,ECG,,,,,,,,,2299",0
"58522068,IMU,1.006,0.043,0.101,0.904,0.070,3.061,22.934,-83.762,32.867",0
"58522749,ECG,,,,,,,,,2298",0
"58523086,ECG,,,,,,,,,2299",0
"58523241,ECG,,,,,,,,,2299",0
"58524002,ECG,,,,,,,,,2298",0
"58526000,ECG,,,,,,,,,2299",0
"58528000,ECG,,,,,,,,,2296",0
"58530000,ECG,,,,,,,,,2296",0
"58532001,ECG,,,,,,,,,2298",0
"58534002,ECG,,,,,,,,,2296",0
"58536002,ECG,,,,,,,,,2297",0
"58542066,IMU,1.002,0.039,0.094,1.183,0.000,2.713,22.622,-84.229,32.907",0
"58542738,ECG,,,,,,,,,2297",0
"58543074,ECG,,,,,,,,,2296",0
"58543246,ECG,,,,,,,,,2286",0
"58544001,ECG,,,,,,,,,2285",0
"58546002,ECG,,,,,,,,,2287",0
"58548003,ECG,,,,,,,,,2285",0
"58550000,ECG,,,,,,,,,2285",0
"58552000,ECG,,,,,,,,,2283",0
"58554000,ECG,,,,,,,,,2281",0
"58556002,ECG,,,,,,,,,2281",0
"58562069,IMU,1.006,0.035,0.097,1.043,4558.191,2.643,19.800,-84.126,33.049",0
