Timestamp,ESP32_Data,Manual
1759248936.7619004,"0.992,0.060,-0.012,7.235,4.452,3.270,0.012,-0.216,48.745,2091",0
1759248936.9929008,"0.988,0.056,-0.024,8.000,3.548,3.687,0.012,-0.216,48.745,2142",0
1759248937.0149004,"0.996,0.056,-0.028,8.904,3.130,4.174,0.012,-0.218,48.745,2125",0
1759248937.0369012,"0.996,0.056,-0.028,9.739,2.574,4.243,0.008,-0.220,48.745,2136",0
1759248937.058676,"1.008,0.036,-0.032,10.504,1.739,4.522,0.008,-0.220,48.745,2156",0
1759248937.081069,"1.008,0.036,-0.032,11.200,0.974,5.009,0.010,-0.220,48.745,2140",0
1759248937.1032307,"1.008,0.048,-0.036,11.687,4558.887,5.774,0.010,-0.220,48.745,2152",0
1759248937.125355,"1.012,0.060,-0.024,11.826,4558.609,6.191,0.013,-0.221,48.745,2188",0
1759248937.1475475,"1.012,0.060,-0.024,11.409,4557.774,6.887,0.017,-0.223,48.745,2221",0
1759248937.1696465,"1.020,0.076,-0.020,11.409,4557.426,7.513,0.017,-0.223,48.745,2264",0
1759248937.191693,"1.020,0.076,-0.020,11.270,4557.009,7.791,0.017,-0.223,48.923,2312",0
1759248937.2137573,"1.020,0.080,-0.004,10.922,4557.426,7.791,0.017,-0.223,49.145,2330",0
1759248937.2358184,"1.020,0.100,0.004,10.504,4557.356,7.861,87.716,-84.402,49.123,2297",0
1759248937.2575693,"1.020,0.100,0.004,9.739,4556.661,8.209,0.024,-0.224,49.122,2272",0
1759248937.2797632,"1.024,0.108,-0.004,8.626,4555.896,8.348,0.024,-0.224,49.212,2279",0
1759248937.3016367,"1.024,0.108,-0.004,8.000,4555.756,8.626,0.023,-0.226,49.279,2267",0
1759248937.3242774,"1.036,0.104,-0.020,7.235,4556.244,8.696,0.023,-0.226,49.190,2236",0
1759248937.3468218,"1.044,0.100,-0.032,7.026,4556.730,8.835,0.022,-0.228,49.123,2265",0
1759248937.368557,"1.044,0.100,-0.032,7.443,4557.565,8.348,0.022,-0.228,49.146,2272",0
1759248937.391077,"1.044,0.088,-0.032,8.000,4558.331,8.696,0.019,-0.228,49.057,2249",0
1759248937.413174,"1.044,0.088,-0.032,8.904,4558.887,8.835,0.018,-0.228,48.924,2239",0
1759248937.4352467,"1.044,0.084,-0.016,9.113,4558.678,9.113,0.018,-0.228,48.991,2265",0
1759248937.4573028,"1.044,0.076,-0.004,8.904,4558.678,9.948,0.017,-0.228,49.013,2269",0
