ESP32_Data,Manual
"52216089,IMU,-0.035,-0.109,0.874,2.435,2.852,2.991,89.811,-45.011,62.723",0
"52216791,ECG,,,,,,,,,2314",0
"52217099,ECG,,,,,,,,,2317",0
"52217274,ECG,,,,,,,,,2317",0
"52218003,ECG,,,,,,,,,2315",0
"52220003,ECG,,,,,,,,,2315",0
"52222003,ECG,,,,,,,,,2302",0
"52224003,ECG,,,,,,,,,2298",0
"52226001,ECG,,,,,,,,,2287",0
"52228001,ECG,,,,,,,,,2286",0
"52230001,ECG,,,,,,,,,2297",0
"52236089,IMU,-0.039,-0.105,0.870,2.296,2.852,3.130,89.812,-45.011,64.228",0
"52236788,ECG,,,,,,,,,2331",0
"52237101,ECG,,,,,,,,,2330",0
"52237270,ECG,,,,,,,,,2330",0
"52238001,ECG,,,,,,,,,2330",0
"52240003,ECG,,,,,,,,,2329",0
"52242003,ECG,,,,,,,,,2315",0
"52244003,ECG,,,,,,,,,2312",0
"52246004,ECG,,,,,,,,,2297",0
"52248000,ECG,,,,,,,,,2295",0
"52250000,ECG,,,,,,,,,2299",0
"52256089,IMU,-0.039,-0.105,0.866,2.226,2.574,3.061,89.812,-45.011,63.500",0
"52256780,ECG,,,,,,,,,2328",0
"52257081,ECG,,,,,,,,,2327",0
"52257244,ECG,,,,,,,,,2328",0
"52258000,ECG,,,,,,,,,2319",0
"52260000,ECG,,,,,,,,,2318",0
"52262000,ECG,,,,,,,,,2312",0
"52264001,ECG,,,,,,,,,2302",0
"52266001,ECG,,,,,,,,,2297",0
"52268001,ECG,,,,,,,,,2295",0
"52270001,ECG,,,,,,,,,2297",0
"52276089,IMU,-0.039,-0.113,0.850,1.739,2.365,2.991,89.816,-45.011,64.493",0
"52276784,ECG,,,,,,,,,2319",0
"52277103,ECG,,,,,,,,,2318",0
"52277263,ECG,,,,,,,,,2327",0
"52278001,ECG,,,,,,,,,2319",0
"52280002,ECG,,,,,,,,,2317",0
"52282002,ECG,,,,,,,,,2312",0
"52284002,ECG,,,,,,,,,2300",0
"52286003,ECG,,,,,,,,,2295",0
"52288004,ECG,,,,,,,,,2286",0
"52290000,ECG,,,,,,,,,2287",0
"52296089,IMU,-0.047,-0.109,0.881,2.017,0.070,2.852,89.809,-45.010,64.951",0
"52296780,ECG,,,,,,,,,2331",0
"52297093,ECG,,,,,,,,,2330",0
"52297246,ECG,,,,,,,,,2329",0
"52298000,ECG,,,,,,,,,2330",0
"52300000,ECG,,,,,,,,,2328",0
"52302000,ECG,,,,,,,,,2316",0
"52304000,ECG,,,,,,,,,2313",0
"52306000,ECG,,,,,,,,,2299",0
"52308001,ECG,,,,,,,,,2297",0
"52310001,ECG,,,,,,,,,2297",0
"52316089,IMU,-0.043,-0.101,0.881,3.061,4558.261,2.713,89.809,-45.010,64.951",0
"52316787,ECG,,,,,,,,,2328",0
"52317098,ECG,,,,,,,,,2329",0
"52317270,ECG,,,,,,,,,2330",0
"52318001,ECG,,,,,,,,,2331",0
"52320001,ECG,,,,,,,,,2330",0
"52322002,ECG,,,,,,,,,2317",0
"52324002,ECG,,,,,,,,,2312",0
"52326002,ECG,,,,,,,,,2298",0
"52328002,ECG,,,,,,,,,2297",0
"52330000,ECG,,,,,,,,,2298",0
"52336089,IMU,-0.039,-0.109,0.877,2.713,4558.539,2.783,89.810,-45.011,64.951",0
"52336797,ECG,,,,,,,,,2318",0
"52337113,ECG,,,,,,,,,2316",0
"52337274,ECG,,,,,,,,,2318",0
"52338000,ECG,,,,,,,,,2318",0
"52340001,ECG,,,,,,,,,2315",0
"52342001,ECG,,,,,,,,,2312",0
"52344003,ECG,,,,,,,,,2300",0
"52346004,ECG,,,,,,,,,2296",0
"52348000,ECG,,,,,,,,,2296",0
"52350000,ECG,,,,,,,,,2298",0
"52356089,IMU,-0.035,-0.105,0.874,2.087,0.904,2.574,89.811,-45.011,64.951",0
"52356782,ECG,,,,,,,,,2336",0
"52357098,ECG,,,,,,,,,2335",0
"52357260,ECG,,,,,,,,,2336",0
"52358000,ECG,,,,,,,,,2344",0
"52360000,ECG,,,,,,,,,2348",0
"52362001,ECG,,,,,,,,,2347",0
"52364001,ECG,,,,,,,,,2336",0
"52366001,ECG,,,,,,,,,2330",0
"52368002,ECG,,,,,,,,,2328",0
"52370002,ECG,,,,,,,,,2331",0
"52376089,IMU,-0.035,-0.101,0.874,2.087,1.600,3.200,89.811,-45.011,64.951",0
"52376777,ECG,,,,,,,,,2362",0
"52377093,ECG,,,,,,,,,2362",0
"52377261,ECG,,,,,,,,,2363",0
"52378003,ECG,,,,,,,,,2363",0
"52380003,ECG,,,,,,,,,2363",0
"52382004,ECG,,,,,,,,,2365",0
"52384000,ECG,,,,,,,,,2366",0
"52386000,ECG,,,,,,,,,2377",0
"52388000,ECG,,,,,,,,,2379",0
"52390003,ECG,,,,,,,,,2393",0
"52396089,IMU,-0.043,-0.109,0.870,2.296,1.878,3.200,89.812,-45.011,64.645",0
"52396778,ECG,,,,,,,,,2429",0
"52397085,ECG,,,,,,,,,2430",0
"52397255,ECG,,,,,,,,,2429",0
"52398003,ECG,,,,,,,,,2430",0
"52400004,ECG,,,,,,,,,2425",0
"52402000,ECG,,,,,,,,,2414",0
"52404001,ECG,,,,,,,,,2410",0
"52406001,ECG,,,,,,,,,2412",0
"52408002,ECG,,,,,,,,,2411",0
"52410002,ECG,,,,,,,,,2413",0
"52416089,IMU,-0.043,-0.109,0.870,2.435,1.878,2.643,89.812,-45.011,63.915",0
"52416782,ECG,,,,,,,,,2427",0
"52417087,ECG,,,,,,,,,2426",0
"52417258,ECG,,,,,,,,,2429",0
"52418003,ECG,,,,,,,,,2426",0
"52420003,ECG,,,,,,,,,2412",0
"52422004,ECG,,,,,,,,,2395",0
"52424004,ECG,,,,,,,,,2377",0
"52426000,ECG,,,,,,,,,2362",0
"52428000,ECG,,,,,,,,,2348",0
"52430000,ECG,,,,,,,,,2345",0
"52436089,IMU,-0.043,-0.109,0.870,2.435,1.878,2.991,89.812,-45.011,65.076",0
"52436762,ECG,,,,,,,,,2343",0
"52437075,ECG,,,,,,,,,2344",0
"52437246,ECG,,,,,,,,,2334",0
"52438004,ECG,,,,,,,,,2334",0
"52440000,ECG,,,,,,,,,2331",0
"52442000,ECG,,,,,,,,,2316",0
"52444001,ECG,,,,,,,,,2299",0
"52446001,ECG,,,,,,,,,2283",0
"52448001,ECG,,,,,,,,,2280",0
"52450002,ECG,,,,,,,,,2281",0
