ESP32_Data,Manual
"49764003,ECG,,,,,,,,,2878",0
"49766002,ECG,,,,,,,,,2927",0
"49768001,ECG,,,,,,,,,3017",0
"49774080,IMU,-0.176,0.004,0.870,4558.470,2.365,1.391,0.257,-89.812,96.760",0
"49774774,ECG,,,,,,,,,3405",0
"49775280,ECG,,,,,,,,,3417",0
"49776001,ECG,,,,,,,,,3432",0
"49778002,ECG,,,,,,,,,3434",0
"49780002,ECG,,,,,,,,,3392",0
"49782000,ECG,,,,,,,,,3325",0
"49784001,ECG,,,,,,,,,3256",0
"49786001,ECG,,,,,,,,,3193",0
"49788001,ECG,,,,,,,,,3132",0
"49794047,IMU,-0.234,0.000,0.827,4558.261,4543.861,4557.356,0.000,-89.821,96.760",0
"49794746,ECG,,,,,,,,,2925",0
"49795073,ECG,,,,,,,,,2919",0
"49795233,ECG,,,,,,,,,2906",0
"49796000,ECG,,,,,,,,,2857",0
"49798001,ECG,,,,,,,,,2650",0
"49800001,ECG,,,,,,,,,2397",0
"49802001,ECG,,,,,,,,,2155",0
"49804002,ECG,,,,,,,,,1965",0
"49806000,ECG,,,,,,,,,1879",0
"49808000,ECG,,,,,,,,,1871",0
"49814090,IMU,-0.214,-0.004,0.835,4558.191,4531.756,4555.478,89.820,-44.980,96.760",0
"49814808,ECG,,,,,,,,,2248",0
"49815126,ECG,,,,,,,,,2254",0
"49815289,ECG,,,,,,,,,2267",0
"49816000,ECG,,,,,,,,,2312",0
"49818002,ECG,,,,,,,,,2394",0
"49820002,ECG,,,,,,,,,2444",0
"49822002,ECG,,,,,,,,,2457",0
"49824002,ECG,,,,,,,,,2443",0
"49826003,ECG,,,,,,,,,2423",0
"49828003,ECG,,,,,,,,,2398",0
"49834081,IMU,-0.183,0.012,0.831,4558.400,4523.200,4552.278,0.807,-89.820,99.414",0
"49834811,ECG,,,,,,,,,2431",0
"49835123,ECG,,,,,,,,,2432",0
"49835293,ECG,,,,,,,,,2432",0
"49836001,ECG,,,,,,,,,2442",0
"49838001,ECG,,,,,,,,,2447",0
"49840001,ECG,,,,,,,,,2456",0
"49842002,ECG,,,,,,,,,2456",0
"49844002,ECG,,,,,,,,,2456",0
"49846002,ECG,,,,,,,,,2447",0
"49848002,ECG,,,,,,,,,2459",0
"49854090,IMU,-0.133,-0.004,0.854,0.139,4521.183,4552.487,89.815,-44.989,98.001",0
"49854803,ECG,,,,,,,,,2624",0
"49855126,ECG,,,,,,,,,2636",0
"49855278,ECG,,,,,,,,,2638",0
"49856001,ECG,,,,,,,,,2666",0
"49858001,ECG,,,,,,,,,2718",0
"49860001,ECG,,,,,,,,,2750",0
"49862001,ECG,,,,,,,,,2748",0
"49864003,ECG,,,,,,,,,2728",0
"49866003,ECG,,,,,,,,,2701",0
"49868003,ECG,,,,,,,,,2698",0
"49874082,IMU,-0.113,-0.016,0.885,4557.843,4530.295,4554.991,89.808,-44.992,95.875",0
"49874817,ECG,,,,,,,,,2811",0
"49875139,ECG,,,,,,,,,2813",0
"49875301,ECG,,,,,,,,,2813",0
"49876003,ECG,,,,,,,,,2826",0
"49878004,ECG,,,,,,,,,2829",0
"49880000,ECG,,,,,,,,,2796",0
"49882000,ECG,,,,,,,,,2730",0
"49884001,ECG,,,,,,,,,2639",0
"49886001,ECG,,,,,,,,,2537",0
"49888001,ECG,,,,,,,,,2440",0
"49894079,IMU,-0.074,-0.004,0.932,4555.896,4550.748,4557.982,89.798,-44.995,91.545",0
"49894802,ECG,,,,,,,,,2281",0
"49895118,ECG,,,,,,,,,2282",0
"49895281,ECG,,,,,,,,,2283",0
"49896001,ECG,,,,,,,,,2286",0
"49898002,ECG,,,,,,,,,2311",0
"49900002,ECG,,,,,,,,,2335",0
"49902002,ECG,,,,,,,,,2366",0
"49904002,ECG,,,,,,,,,2391",0
"49906002,ECG,,,,,,,,,2396",0
"49908000,ECG,,,,,,,,,2407",0
"49914069,IMU,-0.016,0.004,0.920,4555.965,2.852,4556.104,0.243,-89.800,90.645",0
"49914765,ECG,,,,,,,,,2426",0
"49915082,ECG,,,,,,,,,2426",0
"49915235,ECG,,,,,,,,,2427",0
"49916001,ECG,,,,,,,,,2426",0
"49918003,ECG,,,,,,,,,2426",0
"49920003,ECG,,,,,,,,,2409",0
"49922001,ECG,,,,,,,,,2378",0
"49924001,ECG,,,,,,,,,2344",0
"49926001,ECG,,,,,,,,,2300",0
"49928001,ECG,,,,,,,,,2280",0
"49934079,IMU,-0.016,-0.055,0.874,4558.331,1.948,1.252,89.811,-45.008,90.645",0
"49934783,ECG,,,,,,,,,2345",0
"49935091,ECG,,,,,,,,,2347",0
"49935253,ECG,,,,,,,,,2350",0
"49936002,ECG,,,,,,,,,2368",0
"49938002,ECG,,,,,,,,,2414",0
"49940002,ECG,,,,,,,,,2455",0
"49942002,ECG,,,,,,,,,2472",0
"49944002,ECG,,,,,,,,,2461",0
"49946003,ECG,,,,,,,,,2443",0
"49948003,ECG,,,,,,,,,2432",0
"49954068,IMU,0.016,-0.074,0.909,1.252,9.252,3.548,89.803,-0.003,90.645",0
"49954752,ECG,,,,,,,,,2507",0
"49955063,ECG,,,,,,,,,2507",0
"49955219,ECG,,,,,,,,,2509",0
"49956001,ECG,,,,,,,,,2520",0
"49958001,ECG,,,,,,,,,2541",0
"49960001,ECG,,,,,,,,,2540",0
