ESP32_Data,Manual
"67310001,ECG,,,,,,,,,2348",0
"67312001,ECG,,,,,,,,,2331",0
"67314002,ECG,,,,,,,,,2314",0
"67316002,ECG,,,,,,,,,2295",0
"67318002,ECG,,,,,,,,,2270",0
"67320002,ECG,,,,,,,,,2254",0
"67326082,IMU,0.881,0.047,0.429,1.948,8.209,4.383,6.226,-63.918,44.107",0
"67326776,ECG,,,,,,,,,2237",0
"67327099,ECG,,,,,,,,,2234",0
"67327263,ECG,,,,,,,,,2236",0
"67328001,ECG,,,,,,,,,2237",0
"67330002,ECG,,,,,,,,,2248",0
"67332003,ECG,,,,,,,,,2251",0
"67334004,ECG,,,,,,,,,2249",0
"67336002,ECG,,,,,,,,,2240",0
"67338002,ECG,,,,,,,,,2237",0
"67340002,ECG,,,,,,,,,2233",0
"67346085,IMU,0.854,0.043,0.429,1.183,3.409,3.548,5.711,-63.221,44.107",0
"67346760,ECG,,,,,,,,,2200",0
"67347093,ECG,,,,,,,,,2202",0
"67347249,ECG,,,,,,,,,2201",0
"67348000,ECG,,,,,,,,,2200",0
"67350002,ECG,,,,,,,,,2190",0
"67352002,ECG,,,,,,,,,2189",0
"67354003,ECG,,,,,,,,,2189",0
"67356000,ECG,,,,,,,,,2199",0
"67358001,ECG,,,,,,,,,2202",0
"67360001,ECG,,,,,,,,,2205",0
"67366082,IMU,0.846,0.043,0.441,1.809,3.896,3.478,5.560,-62.386,44.107",0
"67366763,ECG,,,,,,,,,2232",0
"67367085,ECG,,,,,,,,,2233",0
"67367242,ECG,,,,,,,,,2233",0
"67368003,ECG,,,,,,,,,2233",0
"67370004,ECG,,,,,,,,,2239",0
"67372000,ECG,,,,,,,,,2249",0
"67374000,ECG,,,,,,,,,2251",0
"67376000,ECG,,,,,,,,,2253",0
"67378002,ECG,,,,,,,,,2254",0
"67380003,ECG,,,,,,,,,2264",0
"67386084,IMU,0.862,0.043,0.437,1.530,3.687,2.435,5.610,-63.018,44.107",0
"67386766,ECG,,,,,,,,,2286",0
"67387094,ECG,,,,,,,,,2284",0
"67387260,ECG,,,,,,,,,2284",0
"67388003,ECG,,,,,,,,,2285",0
"67390000,ECG,,,,,,,,,2297",0
"67392002,ECG,,,,,,,,,2299",0
"67394003,ECG,,,,,,,,,2303",0
"67396001,ECG,,,,,,,,,2303",0
"67398001,ECG,,,,,,,,,2299",0
"67400001,ECG,,,,,,,,,2297",0
"67406083,IMU,0.866,0.051,0.445,0.835,4.452,2.922,6.506,-62.673,44.107",0
"67406749,ECG,,,,,,,,,2286",0
"67407074,ECG,,,,,,,,,2286",0
"67407230,ECG,,,,,,,,,2286",0
"67408000,ECG,,,,,,,,,2296",0
"67410001,ECG,,,,,,,,,2298",0
"67412001,ECG,,,,,,,,,2302",0
"67414001,ECG,,,,,,,,,2312",0
"67416002,ECG,,,,,,,,,2313",0
"67418002,ECG,,,,,,,,,2314",0
"67420002,ECG,,,,,,,,,2315",0
"67426086,IMU,0.862,0.051,0.437,1.878,6.052,3.200,6.395,-62.055,44.427",0
"67426756,ECG,,,,,,,,,2312",0
"67427080,ECG,,,,,,,,,2312",0
"67427242,ECG,,,,,,,,,2303",0
"67428000,ECG,,,,,,,,,2302",0
"67430001,ECG,,,,,,,,,2299",0
"67432001,ECG,,,,,,,,,2302",0
"67434001,ECG,,,,,,,,,2314",0
"67436001,ECG,,,,,,,,,2319",0
"67438001,ECG,,,,,,,,,2331",0
"67440001,ECG,,,,,,,,,2331",0
"67446084,IMU,0.854,0.047,0.445,2.157,6.539,2.435,7.002,-62.543,44.163",0
"67446758,ECG,,,,,,,,,2317",0
"67447088,ECG,,,,,,,,,2318",0
"67447242,ECG,,,,,,,,,2317",0
"67448001,ECG,,,,,,,,,2317",0
"67450001,ECG,,,,,,,,,2314",0
"67452002,ECG,,,,,,,,,2315",0
"67454002,ECG,,,,,,,,,2315",0
"67456004,ECG,,,,,,,,,2315",0
"67458000,ECG,,,,,,,,,2313",0
"67460000,ECG,,,,,,,,,2313",0
"67466083,IMU,0.854,0.051,0.449,1.878,6.609,2.783,5.958,-62.064,44.381",0
"67466767,ECG,,,,,,,,,2287",0
"67467088,ECG,,,,,,,,,2288",0
"67467244,ECG,,,,,,,,,2287",0
"67468002,ECG,,,,,,,,,2285",0
"67470003,ECG,,,,,,,,,2283",0
"67472003,ECG,,,,,,,,,2285",0
"67474001,ECG,,,,,,,,,2285",0
"67476001,ECG,,,,,,,,,2285",0
"67478001,ECG,,,,,,,,,2296",0
"67480001,ECG,,,,,,,,,2297",0
"67486084,IMU,0.850,0.051,0.445,2.087,5.843,2.713,6.563,-62.558,44.484",0
"67486777,ECG,,,,,,,,,2296",0
"67487106,ECG,,,,,,,,,2298",0
"67487271,ECG,,,,,,,,,2297",0
"67488002,ECG,,,,,,,,,2297",0
"67490004,ECG,,,,,,,,,2297",0
"67492004,ECG,,,,,,,,,2301",0
"67494000,ECG,,,,,,,,,2314",0
