ESP32_Data,Manual
"649930001,ECG,,,,,,,,,2151",0
"649932003,ECG,,,,,,,,,2153",0
"649937237,IMU,0.858,0.008,0.449,2.087,1.322,2.991,0.996,-62.404,43.286",0
"649937920,ECG,,,,,,,,,2154",0
"649938259,ECG,,,,,,,,,2155",0
"649938410,ECG,,,,,,,,,2154",0
"649940001,ECG,,,,,,,,,2156",0
"649942003,ECG,,,,,,,,,2156",0
"649944001,ECG,,,,,,,,,2157",0
"649946000,ECG,,,,,,,,,2168",0
"649948001,ECG,,,,,,,,,2169",0
"649950002,ECG,,,,,,,,,2168",0
"649957083,IMU,0.858,0.008,0.456,1.809,0.417,3.200,0.979,-61.996,43.286",0
"649957754,ECG,,,,,,,,,2155",0
"649958083,ECG,,,,,,,,,2154",0
"649958252,ECG,,,,,,,,,2155",0
"649958416,ECG,,,,,,,,,2154",0
"649960001,ECG,,,,,,,,,2152",0
"649962002,ECG,,,,,,,,,2152",0
"649964000,ECG,,,,,,,,,2152",0
"649966001,ECG,,,,,,,,,2155",0
"649968002,ECG,,,,,,,,,2158",0
"649970000,ECG,,,,,,,,,2170",0
"649972001,ECG,,,,,,,,,2173",0
"649977236,IMU,0.854,0.012,0.452,1.809,0.487,3.270,1.482,-62.087,43.286",0
"649977931,ECG,,,,,,,,,2184",0
"649978251,ECG,,,,,,,,,2184",0
"649978417,ECG,,,,,,,,,2184",0
"649980001,ECG,,,,,,,,,2184",0
"649982002,ECG,,,,,,,,,2186",0
"649984003,ECG,,,,,,,,,2184",0
"649986001,ECG,,,,,,,,,2189",0
"649988002,ECG,,,,,,,,,2190",0
"649990001,ECG,,,,,,,,,2192",0
"649992002,ECG,,,,,,,,,2200",0
"649997238,IMU,0.854,0.008,0.449,2.157,1.530,3.061,0.996,-62.296,43.209",0
"649997922,ECG,,,,,,,,,2188",0
"649998237,ECG,,,,,,,,,2188",0
"649998401,ECG,,,,,,,,,2188",0
"650000001,ECG,,,,,,,,,2187",0
"650002002,ECG,,,,,,,,,2185",0
"650004000,ECG,,,,,,,,,2186",0
"650006002,ECG,,,,,,,,,2169",0
"650008003,ECG,,,,,,,,,2167",0
"650010001,ECG,,,,,,,,,2160",0
"650017081,IMU,0.854,0.008,0.449,2.365,1.391,2.783,0.996,-62.296,43.298",0
"650017769,ECG,,,,,,,,,2156",0
"650018089,ECG,,,,,,,,,2155",0
"650018262,ECG,,,,,,,,,2155",0
"650018428,ECG,,,,,,,,,2154",0
