ESP32_Data,Manual
"20105123,IMU,0.983,0.047,0.218,0.557,0.557,2.852,15.256,-77.209,35.821",0
"20105797,ECG,,,,,,,,,2701",0
"20106132,ECG,,,,,,,,,2695",0
"20106294,ECG,,,,,,,,,2684",0
"20106448,ECG,,,,,,,,,2683",0
"20108001,ECG,,,,,,,,,2616",0
"20110001,ECG,,,,,,,,,2543",0
"20112002,ECG,,,,,,,,,2509",0
"20114002,ECG,,,,,,,,,2504",0
"20116002,ECG,,,,,,,,,2489",0
"20118002,ECG,,,,,,,,,2490",0
"20120002,ECG,,,,,,,,,2504",0
"20125225,IMU,0.983,0.051,0.218,0.835,1.043,2.504,15.256,-77.209,35.650",0
"20125901,ECG,,,,,,,,,2345",0
"20126231,ECG,,,,,,,,,2333",0
"20126393,ECG,,,,,,,,,2318",0
"20128004,ECG,,,,,,,,,2206",0
"20130000,ECG,,,,,,,,,2088",0
"20132000,ECG,,,,,,,,,1998",0
"20134001,ECG,,,,,,,,,1977",0
"20136001,ECG,,,,,,,,,2015",0
"20138002,ECG,,,,,,,,,2094",0
"20140002,ECG,,,,,,,,,2189",0
"20145221,IMU,0.979,0.051,0.211,0.348,4558.400,3.130,14.037,-77.054,35.617",0
"20145926,ECG,,,,,,,,,2391",0
"20146235,ECG,,,,,,,,,2392",0
"20146398,ECG,,,,,,,,,2393",0
"20148003,ECG,,,,,,,,,2409",0
"20150000,ECG,,,,,,,,,2409",0
"20152000,ECG,,,,,,,,,2393",0
"20154000,ECG,,,,,,,,,2365",0
"20156001,ECG,,,,,,,,,2349",0
"20158001,ECG,,,,,,,,,2329",0
"20160001,ECG,,,,,,,,,2312",0
"20165226,IMU,0.987,0.055,0.218,1.530,4558.817,3.409,15.681,-76.835,35.687",0
"20165928,ECG,,,,,,,,,2298",0
"20166241,ECG,,,,,,,,,2297",0
"20166403,ECG,,,,,,,,,2297",0
"20168001,ECG,,,,,,,,,2295",0
"20170001,ECG,,,,,,,,,2295",0
