ESP32_Data,Manual
"333428003,ECG,,,,,,,,,2189",0
"333430002,ECG,,,,,,,,,2184",0
"333436089,IMU,0.842,0.047,0.484,1.948,2.365,3.548,5.528,-60.030,45.737",0
"333436778,ECG,,,,,,,,,2167",0
"333437100,ECG,,,,,,,,,2158",0
"333437269,ECG,,,,,,,,,2159",0
"333438002,ECG,,,,,,,,,2159",0
"333440003,ECG,,,,,,,,,2167",0
"333442000,ECG,,,,,,,,,2170",0
"333444002,ECG,,,,,,,,,2171",0
"333446003,ECG,,,,,,,,,2174",0
"333448001,ECG,,,,,,,,,2183",0
"333450003,ECG,,,,,,,,,2175",0
"333456081,IMU,0.835,0.047,0.484,1.878,2.574,3.270,5.528,-59.799,45.764",0
"333456781,ECG,,,,,,,,,2170",0
"333457105,ECG,,,,,,,,,2169",0
"333457270,ECG,,,,,,,,,2171",0
"333458000,ECG,,,,,,,,,2168",0
"333460003,ECG,,,,,,,,,2168",0
"333462001,ECG,,,,,,,,,2159",0
"333464003,ECG,,,,,,,,,2159",0
"333466004,ECG,,,,,,,,,2169",0
"333468002,ECG,,,,,,,,,2169",0
"333470000,ECG,,,,,,,,,2168",0
"333476089,IMU,0.835,0.047,0.484,1.600,2.435,3.270,5.528,-59.799,45.730",0
"333476788,ECG,,,,,,,,,2169",0
"333477106,ECG,,,,,,,,,2168",0
"333477285,ECG,,,,,,,,,2170",0
"333478002,ECG,,,,,,,,,2168",0
"333480000,ECG,,,,,,,,,2170",0
"333482002,ECG,,,,,,,,,2159",0
"333484000,ECG,,,,,,,,,2157",0
"333486002,ECG,,,,,,,,,2159",0
"333488001,ECG,,,,,,,,,2157",0
"333490003,ECG,,,,,,,,,2167",0
"333496083,IMU,0.831,0.043,0.480,0.835,1.252,3.339,5.111,-59.901,45.555",0
"333496773,ECG,,,,,,,,,2176",0
"333497090,ECG,,,,,,,,,2185",0
"333497254,ECG,,,,,,,,,2184",0
"333498001,ECG,,,,,,,,,2184",0
"333500003,ECG,,,,,,,,,2192",0
"333502002,ECG,,,,,,,,,2190",0
"333504000,ECG,,,,,,,,,2192",0
"333506002,ECG,,,,,,,,,2199",0
"333508000,ECG,,,,,,,,,2200",0
"333510002,ECG,,,,,,,,,2202",0
"333516081,IMU,0.827,0.039,0.488,0.835,1.391,3.200,4.574,-59.400,45.429",0
"333516778,ECG,,,,,,,,,2202",0
"333517096,ECG,,,,,,,,,2201",0
"333517261,ECG,,,,,,,,,2203",0
"333518003,ECG,,,,,,,,,2200",0
"333520000,ECG,,,,,,,,,2204",0
"333522001,ECG,,,,,,,,,2205",0
"333524002,ECG,,,,,,,,,2216",0
"333526003,ECG,,,,,,,,,2217",0
"333528000,ECG,,,,,,,,,2220",0
"333530001,ECG,,,,,,,,,2221",0
"333536081,IMU,0.831,0.043,0.488,0.835,0.696,3.409,5.029,-59.501,45.391",0
"333536751,ECG,,,,,,,,,2221",0
"333537069,ECG,,,,,,,,,2222",0
"333537236,ECG,,,,,,,,,2221",0
"333538003,ECG,,,,,,,,,2222",0
"333540002,ECG,,,,,,,,,2232",0
"333542003,ECG,,,,,,,,,2235",0
"333544004,ECG,,,,,,,,,2237",0
"333546003,ECG,,,,,,,,,2236",0
"333548000,ECG,,,,,,,,,2233",0
"333550001,ECG,,,,,,,,,2231",0
"333556083,IMU,0.831,0.043,0.488,0.348,1.183,3.130,5.029,-59.501,45.589",0
"333556727,ECG,,,,,,,,,2206",0
"333557056,ECG,,,,,,,,,2206",0
"333557229,ECG,,,,,,,,,2205",0
"333558001,ECG,,,,,,,,,2206",0
"333560003,ECG,,,,,,,,,2208",0
"333562000,ECG,,,,,,,,,2220",0
"333564001,ECG,,,,,,,,,2234",0
"333566002,ECG,,,,,,,,,2248",0
"333568003,ECG,,,,,,,,,2254",0
"333570000,ECG,,,,,,,,,2270",0
"333576082,IMU,0.831,0.043,0.488,0.417,2.226,3.200,5.029,-59.501,45.589",0
"333576778,ECG,,,,,,,,,2301",0
"333577108,ECG,,,,,,,,,2302",0
"333577281,ECG,,,,,,,,,2302",0
"333578001,ECG,,,,,,,,,2304",0
"333580003,ECG,,,,,,,,,2313",0
"333582000,ECG,,,,,,,,,2317",0
"333584002,ECG,,,,,,,,,2331",0
"333586000,ECG,,,,,,,,,2346",0
"333588001,ECG,,,,,,,,,2350",0
"333590000,ECG,,,,,,,,,2361",0
"333596089,IMU,0.827,0.043,0.480,0.765,2.365,3.200,5.111,-59.783,45.589",0
"333596784,ECG,,,,,,,,,2344",0
"333597109,ECG,,,,,,,,,2344",0
"333597281,ECG,,,,,,,,,2344",0
"333598002,ECG,,,,,,,,,2335",0
"333600000,ECG,,,,,,,,,2328",0
"333602001,ECG,,,,,,,,,2315",0
"333604003,ECG,,,,,,,,,2300",0
"333606000,ECG,,,,,,,,,2286",0
"333608002,ECG,,,,,,,,,2280",0
"333610003,ECG,,,,,,,,,2267",0
"333616081,IMU,0.831,0.043,0.480,0.348,0.487,3.339,5.111,-59.901,45.589",0
"333616775,ECG,,,,,,,,,2222",0
"333617084,ECG,,,,,,,,,2222",0
"333617266,ECG,,,,,,,,,2221",0
"333618003,ECG,,,,,,,,,2220",0
"333620001,ECG,,,,,,,,,2217",0
"333622002,ECG,,,,,,,,,2219",0
"333624003,ECG,,,,,,,,,2216",0
"333626001,ECG,,,,,,,,,2218",0
"333628003,ECG,,,,,,,,,2219",0
"333630000,ECG,,,,,,,,,2217",0
