ESP32_Data,Manual
"87926002,ECG,,,,,,,,,2380",0
"87928000,ECG,,,,,,,,,2396",0
"87930001,ECG,,,,,,,,,2426",0
"87936075,IMU,-0.090,-0.020,0.870,2.922,6.748,5.635,89.812,-44.995,86.420",0
"87936770,ECG,,,,,,,,,2521",0
"87937094,ECG,,,,,,,,,2519",0
"87937258,ECG,,,,,,,,,2520",0
"87938003,ECG,,,,,,,,,2520",0
"87940000,ECG,,,,,,,,,2519",0
"87942002,ECG,,,,,,,,,2507",0
"87944002,ECG,,,,,,,,,2504",0
"87946002,ECG,,,,,,,,,2506",0
"87948003,ECG,,,,,,,,,2523",0
"87950003,ECG,,,,,,,,,2554",0
"87956081,IMU,-0.097,-0.035,0.866,3.409,5.357,5.774,89.812,-44.996,87.494",0
"87956837,ECG,,,,,,,,,2652",0
"87957172,ECG,,,,,,,,,2653",0
"87957323,ECG,,,,,,,,,2653",0
"87958000,ECG,,,,,,,,,2653",0
"87960000,ECG,,,,,,,,,2664",0
"87962001,ECG,,,,,,,,,2655",0
"87964001,ECG,,,,,,,,,2663",0
"87966001,ECG,,,,,,,,,2665",0
"87968002,ECG,,,,,,,,,2686",0
"87970002,ECG,,,,,,,,,2729",0
"87976087,IMU,-0.105,-0.039,0.885,2.713,2.783,5.983,89.808,-44.996,88.018",0
"87976776,ECG,,,,,,,,,2859",0
"87977115,ECG,,,,,,,,,2859",0
"87977281,ECG,,,,,,,,,2860",0
"87978001,ECG,,,,,,,,,2872",0
"87980001,ECG,,,,,,,,,2873",0
"87982002,ECG,,,,,,,,,2871",0
"87984002,ECG,,,,,,,,,2862",0
"87986002,ECG,,,,,,,,,2873",0
"87988000,ECG,,,,,,,,,2891",0
"87990001,ECG,,,,,,,,,2921",0
"87996080,IMU,-0.101,-0.035,0.874,3.548,3.548,5.635,89.811,-44.996,87.779",0
"87996773,ECG,,,,,,,,,3014",0
"87997092,ECG,,,,,,,,,3014",0
"87997256,ECG,,,,,,,,,3015",0
"87998000,ECG,,,,,,,,,3016",0
"88000000,ECG,,,,,,,,,3000",0
"88002002,ECG,,,,,,,,,2975",0
"88004002,ECG,,,,,,,,,2957",0
"88006002,ECG,,,,,,,,,2951",0
"88008003,ECG,,,,,,,,,2950",0
"88010003,ECG,,,,,,,,,2955",0
"88016079,IMU,-0.105,-0.031,0.881,3.270,2.435,5.426,89.809,-44.995,88.285",0
"88016751,ECG,,,,,,,,,2975",0
"88017083,ECG,,,,,,,,,2974",0
"88017236,ECG,,,,,,,,,2974",0
"88018001,ECG,,,,,,,,,2971",0
"88020001,ECG,,,,,,,,,2940",0
"88022002,ECG,,,,,,,,,2907",0
"88024002,ECG,,,,,,,,,2874",0
"88026002,ECG,,,,,,,,,2844",0
"88028003,ECG,,,,,,,,,2829",0
"88030003,ECG,,,,,,,,,2829",0
"88036082,IMU,-0.117,-0.012,0.877,1.948,1.043,5.496,89.810,-44.991,88.967",0
"88036754,ECG,,,,,,,,,2797",0
"88037078,ECG,,,,,,,,,2796",0
"88037234,ECG,,,,,,,,,2794",0
"88038002,ECG,,,,,,,,,2778",0
"88040002,ECG,,,,,,,,,2729",0
"88042003,ECG,,,,,,,,,2669",0
"88044003,ECG,,,,,,,,,2620",0
"88046003,ECG,,,,,,,,,2584",0
"88048000,ECG,,,,,,,,,2556",0
"88052808,ECG,,,,,,,,,2524",0
"88058053,IMU,-0.121,-0.012,0.874,0.765,0.626,5.009,89.811,-44.991,88.967",0
"88058731,ECG,,,,,,,,,2446",0
"88059055,ECG,,,,,,,,,2443",0
"88059224,ECG,,,,,,,,,2441",0
"88059375,ECG,,,,,,,,,2441",0
"88060000,ECG,,,,,,,,,2424",0
"88062001,ECG,,,,,,,,,2366",0
"88064002,ECG,,,,,,,,,2318",0
"88066002,ECG,,,,,,,,,2282",0
"88068002,ECG,,,,,,,,,2253",0
"88070003,ECG,,,,,,,,,2248",0
"88072003,ECG,,,,,,,,,2248",0
"88077232,IMU,-0.129,-0.016,0.874,0.487,0.278,3.896,89.811,-44.990,88.967",0
"88077914,ECG,,,,,,,,,2208",0
"88078228,ECG,,,,,,,,,2217",0
"88078385,ECG,,,,,,,,,2216",0
"88080001,ECG,,,,,,,,,2187",0
"88082001,ECG,,,,,,,,,2144",0
"88084002,ECG,,,,,,,,,2111",0
"88086002,ECG,,,,,,,,,2089",0
"88088003,ECG,,,,,,,,,2075",0
"88090003,ECG,,,,,,,,,2076",0
"88092003,ECG,,,,,,,,,2091",0
"88097232,IMU,-0.137,-0.004,0.881,0.974,0.765,2.504,89.809,-44.988,88.967",0
"88097917,ECG,,,,,,,,,2104",0
"88098248,ECG,,,,,,,,,2095",0
"88098409,ECG,,,,,,,,,2093",0
"88100003,ECG,,,,,,,,,2087",0
"88102003,ECG,,,,,,,,,2060",0
"88104003,ECG,,,,,,,,,2041",0
"88106000,ECG,,,,,,,,,2029",0
"88108001,ECG,,,,,,,,,2030",0
"88110001,ECG,,,,,,,,,2044",0
"88112002,ECG,,,,,,,,,2073",0
"88117227,IMU,-0.129,-0.004,0.870,1.322,0.487,0.904,89.812,-44.989,88.967",0
"88117904,ECG,,,,,,,,,2092",0
"88118227,ECG,,,,,,,,,2092",0
"88118387,ECG,,,,,,,,,2093",0
"88120001,ECG,,,,,,,,,2079",0
"88122001,ECG,,,,,,,,,2058",0
"88124001,ECG,,,,,,,,,2039",0
"88126001,ECG,,,,,,,,,2026",0
"88128002,ECG,,,,,,,,,2029",0
"88130002,ECG,,,,,,,,,2045",0
"88132002,ECG,,,,,,,,,2075",0
"88137230,IMU,-0.121,-0.004,0.874,2.017,0.070,0.487,89.811,-44.990,89.103",0
"88137907,ECG,,,,,,,,,2110",0
"88138238,ECG,,,,,,,,,2108",0
"88138400,ECG,,,,,,,,,2110",0
"88140001,ECG,,,,,,,,,2094",0
"88142002,ECG,,,,,,,,,2074",0
"88144002,ECG,,,,,,,,,2056",0
"88146002,ECG,,,,,,,,,2042",0
"88148002,ECG,,,,,,,,,2043",0
"88150002,ECG,,,,,,,,,2062",0
"88152000,ECG,,,,,,,,,2089",0
"88157230,IMU,-0.105,-0.008,0.870,2.087,4558.539,0.417,89.812,-44.992,88.884",0
"88157917,ECG,,,,,,,,,2111",0
"88158244,ECG,,,,,,,,,2119",0
"88158398,ECG,,,,,,,,,2111",0
"88160000,ECG,,,,,,,,,2106",0
"88162001,ECG,,,,,,,,,2079",0
"88164001,ECG,,,,,,,,,2064",0
"88166003,ECG,,,,,,,,,2060",0
"88168004,ECG,,,,,,,,,2061",0
"88170004,ECG,,,,,,,,,2077",0
"88177076,IMU,-0.094,-0.016,0.874,1.670,4557.356,0.487,89.811,-44.994,88.481",0
"88177763,ECG,,,,,,,,,2120",0
"88178101,ECG,,,,,,,,,2121",0
"88178262,ECG,,,,,,,,,2121",0
"88178416,ECG,,,,,,,,,2120",0
"88180003,ECG,,,,,,,,,2105",0
"88182003,ECG,,,,,,,,,2088",0
"88184003,ECG,,,,,,,,,2064",0
"88186004,ECG,,,,,,,,,2062",0
"88188004,ECG,,,,,,,,,2073",0
"88190004,ECG,,,,,,,,,2092",0
"88192000,ECG,,,,,,,,,2118",0
"88197229,IMU,-0.086,-0.012,0.885,2.296,4558.748,1.043,89.808,-44.995,89.481",0
"88197919,ECG,,,,,,,,,2153",0
"88198248,ECG,,,,,,,,,2143",0
"88198401,ECG,,,,,,,,,2142",0
"88200003,ECG,,,,,,,,,2134",0
"88202004,ECG,,,,,,,,,2108",0
"88204000,ECG,,,,,,,,,2091",0
"88206000,ECG,,,,,,,,,2088",0
"88208001,ECG,,,,,,,,,2095",0
"88210001,ECG,,,,,,,,,2120",0
"88212002,ECG,,,,,,,,,2143",0
"88217229,IMU,-0.078,-0.016,0.874,2.574,1.461,2.087,89.811,-44.996,88.123",0
"88217909,ECG,,,,,,,,,2190",0
"88218232,ECG,,,,,,,,,2190",0
"88218378,ECG,,,,,,,,,2188",0
"88220004,ECG,,,,,,,,,2184",0
"88222000,ECG,,,,,,,,,2169",0
"88224000,ECG,,,,,,,,,2152",0
"88226000,ECG,,,,,,,,,2139",0
"88228001,ECG,,,,,,,,,2140",0
