Timestamp,ESP32_Data,Manual
1759051255.2310715,"-0.024,0.000,0.908,1.322,1.113,2.991,0.000,-89.808,238.958,840",0
1759051255.4730716,"-0.024,0.000,0.908,1.461,1.322,2.991,0.252,-89.808,238.958,2282",0
1759051255.4950716,"-0.024,0.004,0.908,1.600,1.183,2.852,0.252,-89.808,238.958,3803",0
1759051255.51764,"-0.028,0.004,0.908,1.461,0.974,2.852,0.252,-89.808,238.958,1511",0
1759051255.53967,"-0.028,0.004,0.908,1.461,1.183,3.200,0.252,-89.808,238.958,1261",0
1759051255.5615551,"-0.028,0.000,0.908,1.461,1.252,3.130,0.000,-89.808,238.958,3673",0
1759051255.5835571,"-0.028,0.000,0.908,1.322,1.113,2.991,0.000,-89.808,238.958,2634",0
1759051255.6055539,"-0.024,0.000,0.908,1.670,1.043,3.061,0.000,-89.808,238.958,795",0
1759051255.6275544,"-0.024,0.000,0.908,1.600,1.183,2.991,0.000,-89.807,238.958,2701",0
1759051255.6495566,"-0.028,0.000,0.912,1.461,1.113,2.922,0.000,-89.807,238.958,3624",0
1759051255.6715543,"-0.028,0.004,0.912,1.391,1.391,2.922,0.251,-89.807,238.958,1193",0
1759051255.6935546,"-0.028,0.004,0.912,1.600,1.043,3.200,0.000,-89.809,238.958,1567",0
1759051255.7155554,"-0.028,0.000,0.904,1.391,1.043,3.061,0.000,-89.809,238.958,3785",0
1759051255.7375686,"-0.028,0.000,0.904,1.322,1.113,3.130,0.000,-89.808,238.958,2223",0
1759051255.7595716,"-0.024,0.000,0.908,1.391,0.904,2.922,0.000,-89.808,238.896,810",0
1759051255.7815714,"-0.024,0.000,0.912,1.461,1.043,2.713,0.000,-89.807,239.008,3021",0
1759051255.8035693,"-0.024,0.000,0.912,1.461,1.252,2.643,0.000,-89.807,239.071,3339",0
1759051255.825569,"-0.020,0.000,0.912,1.391,1.043,2.922,0.000,-89.807,239.397,975",0
1759051255.847569,"-0.020,0.000,0.912,1.322,1.113,2.991,0.251,-89.807,239.108,1946",0
1759051255.8695695,"-0.028,0.004,0.912,1.530,0.974,2.922,0.251,-89.807,239.231,3865",0
1759051255.891569,"-0.028,-0.004,0.904,1.670,0.835,3.061,89.809,-45.001,239.636,1835",0
1759051255.914569,"-0.028,-0.004,0.904,1.600,1.043,2.713,89.809,-45.001,239.309,1040",0
1759051255.9365695,"-0.024,0.000,0.908,1.461,1.113,2.643,0.000,-89.808,238.770,3450",0
1759051255.959569,"-0.024,0.000,0.908,1.461,1.183,3.130,0.000,-89.809,238.533,2957",0
1759051255.9815688,"-0.024,0.000,0.904,1.461,1.252,2.922,0.000,-89.809,239.008,826",0
1759051256.0035698,"-0.024,0.000,0.912,1.391,0.904,2.922,0.000,-89.807,239.211,2359",0
1759051256.025569,"-0.024,0.000,0.912,1.391,1.113,3.130,0.000,-89.807,238.946,3769",0
1759051256.0475717,"-0.024,0.000,0.908,1.322,1.113,3.061,0.000,-89.808,239.397,1484",0
1759051256.0695696,"-0.024,0.000,0.908,1.530,1.183,3.130,0.000,-89.809,239.752,1242",0
1759051256.0921652,"-0.024,0.000,0.904,1.391,1.252,2.783,0.000,-89.809,239.211,3625",0
1759051256.1144915,"-0.024,0.000,0.904,1.391,1.043,2.852,0.000,-89.808,239.059,2649",0
1759051256.1365173,"-0.028,0.000,0.908,1.391,0.974,2.852,0.000,-89.808,239.059,783",0
1759051256.1585462,"-0.024,0.000,0.912,1.252,0.904,3.130,0.000,-89.807,239.059,2649",0
1759051256.1813545,"-0.024,0.000,0.912,1.670,1.183,3.200,0.000,-89.808,239.059,3646",0
1759051256.2033658,"-0.024,0.000,0.908,1.391,1.183,3.130,0.000,-89.808,239.059,1247",0
1759051256.226116,"-0.024,0.000,0.908,1.391,1.113,2.852,0.251,-89.807,239.059,1512",0
1759051256.248146,"-0.028,0.004,0.912,1.252,0.904,2.922,0.251,-89.807,239.059,3786",0
1759051256.2701948,"-0.024,0.000,0.904,1.530,1.113,2.922,0.000,-89.809,239.059,2303",0
1759051256.2922156,"-0.024,0.000,0.904,1.391,0.765,3.130,89.809,-45.000,239.059,839",0
