ESP32_Data,Manual
"36260001,ECG,,,,,,,,,2696",0
"36262000,ECG,,,,,,,,,2703",0
"36268089,IMU,0.901,0.012,0.378,0.696,1.043,3.339,1.809,-67.727,60.364",0
"36268763,ECG,,,,,,,,,2719",0
"36269088,ECG,,,,,,,,,2717",0
"36269255,ECG,,,,,,,,,2718",0
"36270001,ECG,,,,,,,,,2716",0
"36272000,ECG,,,,,,,,,2712",0
"36274000,ECG,,,,,,,,,2701",0
"36276003,ECG,,,,,,,,,2701",0
"36278002,ECG,,,,,,,,,2702",0
"36280002,ECG,,,,,,,,,2714",0
"36282001,ECG,,,,,,,,,2715",0
"36288089,IMU,0.897,0.012,0.382,0.974,4558.817,3.617,1.701,-66.288,60.343",0
"36288773,ECG,,,,,,,,,2699",0
"36289085,ECG,,,,,,,,,2698",0
"36289237,ECG,,,,,,,,,2697",0
"36290003,ECG,,,,,,,,,2697",0
"36292003,ECG,,,,,,,,,2686",0
"36294002,ECG,,,,,,,,,2686",0
"36296001,ECG,,,,,,,,,2683",0
"36298002,ECG,,,,,,,,,2683",0
"36300001,ECG,,,,,,,,,2687",0
"36302000,ECG,,,,,,,,,2699",0
"36308089,IMU,0.909,0.008,0.386,2.852,2.087,3.548,0.585,-67.280,60.171",0
"36308762,ECG,,,,,,,,,2703",0
"36309072,ECG,,,,,,,,,2712",0
"36309218,ECG,,,,,,,,,2704",0
"36310000,ECG,,,,,,,,,2700",0
"36312003,ECG,,,,,,,,,2686",0
"36314003,ECG,,,,,,,,,2680",0
"36316002,ECG,,,,,,,,,2669",0
"36318001,ECG,,,,,,,,,2667",0
"36320000,ECG,,,,,,,,,2664",0
"36322000,ECG,,,,,,,,,2655",0
"36328052,IMU,0.905,0.004,0.370,3.896,0.904,3.409,0.000,-67.227,60.116",0
"36328695,ECG,,,,,,,,,2649",0
"36329019,ECG,,,,,,,,,2649",0
"36329180,ECG,,,,,,,,,2649",0
"36330001,ECG,,,,,,,,,2650",0
"36332000,ECG,,,,,,,,,2651",0
"36334000,ECG,,,,,,,,,2653",0
"36336003,ECG,,,,,,,,,2663",0
"36338002,ECG,,,,,,,,,2663",0
"36340001,ECG,,,,,,,,,2654",0
"36342000,ECG,,,,,,,,,2651",0
"36348051,IMU,0.901,0.000,0.386,4.174,0.278,3.687,0.000,-66.806,60.159",0
"36348684,ECG,,,,,,,,,2654",0
"36349005,ECG,,,,,,,,,2652",0
"36349158,ECG,,,,,,,,,2652",0
"36350001,ECG,,,,,,,,,2648",0
"36352000,ECG,,,,,,,,,2635",0
"36354003,ECG,,,,,,,,,2632",0
"36356002,ECG,,,,,,,,,2620",0
"36358004,ECG,,,,,,,,,2620",0
"36360003,ECG,,,,,,,,,2620",0
"36362002,ECG,,,,,,,,,2621",0
"36368089,IMU,0.901,0.000,0.378,4.104,4558.539,3.409,0.597,-67.437,60.272",0
"36368765,ECG,,,,,,,,,2616",0
"36369073,ECG,,,,,,,,,2615",0
"36369219,ECG,,,,,,,,,2617",0
"36370002,ECG,,,,,,,,,2615",0
