ESP32_Data,Manual
"965902003,ECG,,,,,,,,,2027",0
"965904000,ECG,,,,,,,,,2025",0
"965906002,ECG,,,,,,,,,2014",0
"965908003,ECG,,,,,,,,,2011",0
"965910000,ECG,,,,,,,,,2009",0
"965915225,IMU,0.991,-0.027,0.133,0.000,4558.052,2.852,89.977,-0.222,49.487",0
"965915894,ECG,,,,,,,,,1996",0
"965916209,ECG,,,,,,,,,1997",0
"965916355,ECG,,,,,,,,,1995",0
"965918000,ECG,,,,,,,,,1995",0
"965920001,ECG,,,,,,,,,1998",0
"965922003,ECG,,,,,,,,,1999",0
"965924001,ECG,,,,,,,,,2010",0
"965926002,ECG,,,,,,,,,2015",0
"965928004,ECG,,,,,,,,,2029",0
"965930001,ECG,,,,,,,,,2040",0
"965935241,IMU,0.991,-0.027,0.144,0.626,3.200,3.270,89.974,-0.222,49.728",0
"965935921,ECG,,,,,,,,,2063",0
"965936242,ECG,,,,,,,,,2063",0
"965936407,ECG,,,,,,,,,2064",0
"965938001,ECG,,,,,,,,,2075",0
"965940002,ECG,,,,,,,,,2078",0
"965942003,ECG,,,,,,,,,2079",0
"965944000,ECG,,,,,,,,,2078",0
"965946001,ECG,,,,,,,,,2078",0
"965948002,ECG,,,,,,,,,2076",0
"965955079,IMU,0.987,-0.039,0.129,2.087,4557.287,3.548,89.978,-0.221,49.728",0
"965955769,ECG,,,,,,,,,2096",0
"965956109,ECG,,,,,,,,,2103",0
"965956263,ECG,,,,,,,,,2104",0
"965956422,ECG,,,,,,,,,2103",0
"965958003,ECG,,,,,,,,,2105",0
"965960000,ECG,,,,,,,,,2105",0
"965962002,ECG,,,,,,,,,2108",0
"965964003,ECG,,,,,,,,,2120",0
"965966000,ECG,,,,,,,,,2123",0
"965968000,ECG,,,,,,,,,2122",0
"965970001,ECG,,,,,,,,,2123",0
"965975240,IMU,0.994,-0.031,0.148,2.643,4557.078,3.896,89.973,-0.223,49.728",0
"965975936,ECG,,,,,,,,,2124",0
"965976251,ECG,,,,,,,,,2124",0
"965976398,ECG,,,,,,,,,2123",0
"965978001,ECG,,,,,,,,,2135",0
"965980002,ECG,,,,,,,,,2140",0
"965982000,ECG,,,,,,,,,2151",0
"965984002,ECG,,,,,,,,,2157",0
"965986003,ECG,,,,,,,,,2159",0
"965988000,ECG,,,,,,,,,2158",0
"965990002,ECG,,,,,,,,,2159",0
"965995229,IMU,1.006,-0.027,0.152,2.017,4557.217,3.200,89.973,-0.226,49.728",0
"965995919,ECG,,,,,,,,,2152",0
"965996238,ECG,,,,,,,,,2151",0
"965996384,ECG,,,,,,,,,2144",0
"965998003,ECG,,,,,,,,,2151",0
"966000000,ECG,,,,,,,,,2143",0
"966002001,ECG,,,,,,,,,2139",0
"966004002,ECG,,,,,,,,,2140",0
"966006004,ECG,,,,,,,,,2140",0
"966008001,ECG,,,,,,,,,2142",0
"966010002,ECG,,,,,,,,,2144",0
"966015233,IMU,1.002,-0.027,0.164,0.626,4557.287,2.574,89.970,-0.225,49.728",0
"966015927,ECG,,,,,,,,,2154",0
"966016242,ECG,,,,,,,,,2155",0
"966016389,ECG,,,,,,,,,2153",0
"966018001,ECG,,,,,,,,,2154",0
"966020002,ECG,,,,,,,,,2156",0
"966022003,ECG,,,,,,,,,2156",0
"966024000,ECG,,,,,,,,,2155",0
"966026001,ECG,,,,,,,,,2155",0
"966028003,ECG,,,,,,,,,2141",0
"966030000,ECG,,,,,,,,,2139",0
"966035232,IMU,0.998,-0.035,0.164,0.348,4557.496,2.991,89.970,-0.224,49.728",0
"966035921,ECG,,,,,,,,,2136",0
"966036238,ECG,,,,,,,,,2124",0
"966036385,ECG,,,,,,,,,2126",0
"966038002,ECG,,,,,,,,,2127",0
"966040003,ECG,,,,,,,,,2136",0
"966042000,ECG,,,,,,,,,2135",0
"966044001,ECG,,,,,,,,,2127",0
"966046002,ECG,,,,,,,,,2126",0
"966048003,ECG,,,,,,,,,2126",0
"966050000,ECG,,,,,,,,,2135",0
"966055241,IMU,1.002,-0.031,0.152,2.017,4557.705,2.783,89.973,-0.225,49.487",0
"966055933,ECG,,,,,,,,,2142",0
"966056261,ECG,,,,,,,,,2143",0
"966056426,ECG,,,,,,,,,2152",0
"966058002,ECG,,,,,,,,,2151",0
"966060003,ECG,,,,,,,,,2151",0
"966062000,ECG,,,,,,,,,2151",0
"966064001,ECG,,,,,,,,,2152",0
"966066002,ECG,,,,,,,,,2143",0
"966068004,ECG,,,,,,,,,2141",0
"966070001,ECG,,,,,,,,,2142",0
"966075239,IMU,0.998,-0.027,0.148,3.339,4558.191,2.713,89.973,-0.224,49.460",0
"966075935,ECG,,,,,,,,,2126",0
"966076252,ECG,,,,,,,,,2125",0
"966076399,ECG,,,,,,,,,2122",0
"966078001,ECG,,,,,,,,,2123",0
"966080002,ECG,,,,,,,,,2121",0
"966082000,ECG,,,,,,,,,2119",0
"966084002,ECG,,,,,,,,,2119",0
"966086003,ECG,,,,,,,,,2120",0
"966088000,ECG,,,,,,,,,2111",0
"966090001,ECG,,,,,,,,,2119",0
"966095232,IMU,0.991,-0.027,0.148,3.200,0.209,3.270,89.973,-0.222,49.380",0
"966095899,ECG,,,,,,,,,2120",0
