ESP32_Data,Manual
"53176090,IMU,-0.070,-0.117,0.877,2.157,1.739,3.200,89.810,-45.008,67.005",0
"53176772,ECG,,,,,,,,,2217",0
"53177096,ECG,,,,,,,,,2215",0
"53177256,ECG,,,,,,,,,2208",0
"53178001,ECG,,,,,,,,,2205",0
"53180002,ECG,,,,,,,,,2216",0
"53182002,ECG,,,,,,,,,2223",0
"53184002,ECG,,,,,,,,,2237",0
"53186003,ECG,,,,,,,,,2253",0
"53188003,ECG,,,,,,,,,2265",0
"53190003,ECG,,,,,,,,,2264",0
"53196090,IMU,-0.074,-0.121,0.874,1.878,1.461,3.061,89.811,-45.008,68.154",0
"53196775,ECG,,,,,,,,,2216",0
"53197088,ECG,,,,,,,,,2206",0
"53197249,ECG,,,,,,,,,2205",0
"53198002,ECG,,,,,,,,,2203",0
"53200003,ECG,,,,,,,,,2205",0
"53202003,ECG,,,,,,,,,2217",0
"53204004,ECG,,,,,,,,,2233",0
"53206000,ECG,,,,,,,,,2250",0
"53208000,ECG,,,,,,,,,2250",0
"53210000,ECG,,,,,,,,,2256",0
"53216090,IMU,-0.066,-0.125,0.870,1.948,0.974,2.852,89.812,-45.010,65.155",0
"53216774,ECG,,,,,,,,,2204",0
"53217087,ECG,,,,,,,,,2202",0
"53217257,ECG,,,,,,,,,2202",0
"53218000,ECG,,,,,,,,,2200",0
"53220000,ECG,,,,,,,,,2199",0
"53222001,ECG,,,,,,,,,2203",0
"53224001,ECG,,,,,,,,,2218",0
"53226001,ECG,,,,,,,,,2232",0
"53228002,ECG,,,,,,,,,2236",0
"53230000,ECG,,,,,,,,,2235",0
"53236090,IMU,-0.066,-0.125,0.870,1.670,0.696,3.339,89.812,-45.010,65.236",0
"53236787,ECG,,,,,,,,,2188",0
"53237106,ECG,,,,,,,,,2189",0
"53237272,ECG,,,,,,,,,2188",0
"53238000,ECG,,,,,,,,,2184",0
"53240000,ECG,,,,,,,,,2184",0
"53242001,ECG,,,,,,,,,2188",0
"53244003,ECG,,,,,,,,,2203",0
"53246003,ECG,,,,,,,,,2220",0
"53248003,ECG,,,,,,,,,2235",0
"53250000,ECG,,,,,,,,,2234",0
"53256090,IMU,-0.070,-0.121,0.870,1.461,0.696,3.061,89.812,-45.009,65.236",0
"53256778,ECG,,,,,,,,,2184",0
"53257104,ECG,,,,,,,,,2184",0
"53257270,ECG,,,,,,,,,2185",0
"53258001,ECG,,,,,,,,,2184",0
"53260002,ECG,,,,,,,,,2185",0
"53262003,ECG,,,,,,,,,2190",0
"53264003,ECG,,,,,,,,,2207",0
"53266003,ECG,,,,,,,,,2221",0
"53268004,ECG,,,,,,,,,2233",0
"53270000,ECG,,,,,,,,,2231",0
"53276090,IMU,-0.070,-0.117,0.870,1.391,0.765,3.061,89.812,-45.008,65.236",0
"53276777,ECG,,,,,,,,,2184",0
"53277090,ECG,,,,,,,,,2184",0
"53277261,ECG,,,,,,,,,2184",0
"53278004,ECG,,,,,,,,,2175",0
"53280000,ECG,,,,,,,,,2183",0
"53282000,ECG,,,,,,,,,2190",0
"53284000,ECG,,,,,,,,,2208",0
"53286001,ECG,,,,,,,,,2232",0
"53288001,ECG,,,,,,,,,2240",0
"53290003,ECG,,,,,,,,,2239",0
"53296090,IMU,-0.070,-0.121,0.870,1.391,0.278,3.409,89.812,-45.009,65.236",0
"53296780,ECG,,,,,,,,,2188",0
"53297099,ECG,,,,,,,,,2199",0
"53297280,ECG,,,,,,,,,2189",0
"53298003,ECG,,,,,,,,,2187",0
"53300000,ECG,,,,,,,,,2199",0
"53302000,ECG,,,,,,,,,2203",0
"53304001,ECG,,,,,,,,,2220",0
"53306001,ECG,,,,,,,,,2237",0
"53308003,ECG,,,,,,,,,2248",0
"53310002,ECG,,,,,,,,,2249",0
"53316083,IMU,-0.066,-0.121,0.870,1.600,0.417,2.922,89.812,-45.009,65.236",0
"53316760,ECG,,,,,,,,,2205",0
"53317078,ECG,,,,,,,,,2204",0
"53317249,ECG,,,,,,,,,2205",0
"53318001,ECG,,,,,,,,,2203",0
"53320001,ECG,,,,,,,,,2206",0
"53322002,ECG,,,,,,,,,2219",0
"53324002,ECG,,,,,,,,,2238",0
"53326002,ECG,,,,,,,,,2264",0
"53328002,ECG,,,,,,,,,2270",0
"53330003,ECG,,,,,,,,,2272",0
"53336090,IMU,-0.066,-0.121,0.866,1.461,0.487,2.852,89.812,-45.009,64.741",0
"53336769,ECG,,,,,,,,,2236",0
"53337087,ECG,,,,,,,,,2235",0
"53337258,ECG,,,,,,,,,2235",0
"53338001,ECG,,,,,,,,,2235",0
"53340001,ECG,,,,,,,,,2239",0
"53342002,ECG,,,,,,,,,2252",0
"53344002,ECG,,,,,,,,,2272",0
"53346002,ECG,,,,,,,,,2286",0
"53348002,ECG,,,,,,,,,2297",0
"53350000,ECG,,,,,,,,,2286",0
"53356090,IMU,-0.062,-0.117,0.862,1.600,0.626,2.852,89.813,-45.009,66.635",0
"53356780,ECG,,,,,,,,,2235",0
"53357099,ECG,,,,,,,,,2234",0
"53357267,ECG,,,,,,,,,2234",0
"53358004,ECG,,,,,,,,,2234",0
"53360000,ECG,,,,,,,,,2238",0
"53362000,ECG,,,,,,,,,2251",0
"53364001,ECG,,,,,,,,,2268",0
"53366002,ECG,,,,,,,,,2285",0
"53368002,ECG,,,,,,,,,2297",0
"53370002,ECG,,,,,,,,,2300",0
"53376090,IMU,-0.070,-0.117,0.862,1.739,0.487,3.061,89.813,-45.008,67.868",0
"53376774,ECG,,,,,,,,,2252",0
"53377100,ECG,,,,,,,,,2251",0
"53377265,ECG,,,,,,,,,2250",0
"53378004,ECG,,,,,,,,,2251",0
"53380004,ECG,,,,,,,,,2253",0
"53382000,ECG,,,,,,,,,2264",0
"53384000,ECG,,,,,,,,,2282",0
"53386000,ECG,,,,,,,,,2299",0
"53388001,ECG,,,,,,,,,2300",0
"53390001,ECG,,,,,,,,,2298",0
"53396090,IMU,-0.070,-0.121,0.862,2.226,0.765,3.200,89.813,-45.009,67.109",0
"53396788,ECG,,,,,,,,,2237",0
"53397107,ECG,,,,,,,,,2236",0
"53397275,ECG,,,,,,,,,2236",0
"53398001,ECG,,,,,,,,,2235",0
"53400001,ECG,,,,,,,,,2234",0
"53402001,ECG,,,,,,,,,2249",0
"53404002,ECG,,,,,,,,,2265",0
"53406002,ECG,,,,,,,,,2282",0
"53408002,ECG,,,,,,,,,2295",0
