Timestamp,ESP32_Data,Manual
1759046475.9515858,"-0.032,0.000,0.904,1.391,1.043,2.852,0.000,-89.809,328.579,874",0
1759046476.203123,"-0.032,0.000,0.904,1.252,1.322,2.783,89.809,-45.001,328.579,2028",0
1759046476.2261238,"-0.028,-0.004,0.904,1.461,0.835,3.061,89.809,-45.001,328.579,3976",0
1759046476.2491238,"-0.028,-0.004,0.904,1.252,0.835,3.130,0.000,-89.808,328.579,1710",0
1759046476.2711272,"-0.032,0.000,0.908,1.183,1.183,3.061,0.000,-89.808,328.579,999",0
1759046476.293138,"-0.032,0.000,0.904,1.391,0.974,3.130,0.000,-89.809,328.579,3513",0
1759046476.3151338,"-0.032,0.000,0.904,1.600,0.974,2.991,0.000,-89.810,328.579,2969",0
1759046476.337145,"-0.036,0.000,0.900,1.461,1.391,2.991,0.000,-89.810,328.579,759",0
1759046476.359145,"-0.036,0.000,0.900,1.183,1.252,2.991,0.000,-89.809,328.579,2377",0
1759046476.382678,"-0.036,0.000,0.904,1.322,1.043,2.852,0.000,-89.809,328.579,3902",0
1759046476.4046733,"-0.036,-0.004,0.904,1.252,1.043,2.922,89.809,-45.000,328.600,1464",0
1759046476.426684,"-0.036,-0.004,0.904,1.600,0.904,3.130,89.809,-45.000,328.298,1212",0
1759046476.4486842,"-0.028,-0.004,0.900,1.530,1.113,3.061,89.810,-45.001,328.224,3735",0
1759046476.4706953,"-0.028,-0.004,0.900,1.322,0.974,3.061,89.809,-45.000,328.547,2572",0
1759046476.4933481,"-0.032,-0.004,0.904,1.322,1.183,2.713,89.809,-45.000,328.938,700",0
1759046476.5153382,"-0.032,0.000,0.912,1.322,1.043,3.061,0.000,-89.807,328.885,2815",0
1759046476.5372033,"-0.032,0.000,0.912,1.600,1.183,2.852,0.000,-89.807,328.685,3642",0
1759046476.5598197,"-0.032,0.000,0.904,1.600,1.113,2.991,0.000,-89.809,328.620,1128",0
1759046476.581796,"-0.032,0.000,0.904,1.391,1.043,3.130,0.000,-89.810,328.575,1597",0
1759046476.6037965,"-0.036,0.000,0.900,1.252,1.043,2.852,0.000,-89.810,328.747,3917",0
1759046476.625905,"-0.036,0.000,0.908,1.252,1.113,2.852,0.000,-89.808,328.759,2237",0
1759046476.6479223,"-0.036,0.000,0.908,1.530,1.183,2.713,0.000,-89.808,328.399,750",0
1759046476.6699479,"-0.032,-0.004,0.900,1.322,1.113,2.783,89.810,-45.000,328.419,3099",0
1759046476.6916037,"-0.032,-0.004,0.900,1.183,1.183,2.922,0.000,-89.807,328.653,3389",0
1759046476.7133563,"-0.032,0.000,0.912,1.461,1.113,3.061,0.000,-89.807,328.718,925",0
1759046476.735455,"-0.032,0.000,0.912,1.670,1.183,3.270,89.807,-45.000,328.466,1976",0
1759046476.757734,"-0.032,-0.004,0.912,1.809,1.183,2.713,89.807,-45.000,328.359,3992",0
1759046476.779754,"-0.036,0.000,0.920,1.530,1.113,2.643,0.000,-89.806,328.359,1803",0
1759046476.8017397,"-0.036,0.000,0.920,0.835,1.252,2.922,0.000,-89.809,328.359,925",0
1759046476.8237393,"-0.028,0.000,0.904,1.530,0.765,3.061,0.000,-89.809,328.359,3431",0
1759046476.8457348,"-0.028,0.000,0.904,1.391,1.183,3.061,89.806,-45.001,328.359,3037",0
1759046476.8677363,"-0.032,-0.008,0.916,1.252,0.904,3.130,89.806,-45.001,328.359,766",0
1759046476.8897352,"-0.036,0.000,0.904,0.974,0.904,2.991,0.000,-89.809,328.359,2331",0
1759046476.911735,"-0.036,0.000,0.904,1.391,0.974,2.852,0.000,-89.809,328.359,3879",0
1759046476.9337358,"-0.032,0.000,0.908,1.600,0.835,2.713,0.000,-89.808,328.359,1484",0
1759046476.9557354,"-0.032,0.000,0.908,1.252,1.322,2.783,0.251,-89.807,328.359,1207",0
1759046476.9777727,"-0.032,0.004,0.912,1.739,1.113,3.061,0.251,-89.807,328.359,3704",0
1759046476.9998136,"-0.032,0.000,0.908,1.461,1.043,3.061,0.000,-89.808,328.359,2637",0
1759046477.0219364,"-0.032,0.000,0.908,1.530,1.252,3.130,0.000,-89.808,328.359,1951",0
1759046477.0440173,"-0.032,0.000,0.908,1.461,1.252,3.270,0.000,-89.808,328.359,3934",0
1759046477.0658565,"-0.032,0.000,0.908,1.461,0.904,3.130,0.000,-89.808,328.359,1786",0
1759046477.0884154,"-0.032,0.000,0.908,1.391,1.043,3.061,0.000,-89.809,328.359,921",0
1759046477.1107779,"-0.032,0.000,0.904,1.252,1.043,2.991,0.000,-89.809,328.359,3437",0
1759046477.132836,"-0.036,-0.004,0.908,1.322,0.904,2.922,89.808,-45.000,328.399,3072",0
1759046477.1548514,"-0.036,-0.004,0.908,1.391,0.974,2.852,89.808,-45.000,328.547,752",0
1759046477.1770794,"-0.036,0.000,0.904,1.461,0.974,2.713,0.000,-89.809,328.822,2333",0
1759046477.1995935,"-0.036,0.000,0.904,1.322,0.904,3.061,0.000,-89.808,328.674,3871",0
1759046477.2216518,"-0.036,0.000,0.908,1.391,0.974,2.991,0.000,-89.808,328.359,1467",0
1759046477.243179,"-0.032,0.000,0.904,1.461,0.835,2.922,0.000,-89.809,328.306,1179",0
1759046477.2656848,"-0.032,0.000,0.904,1.461,0.974,2.852,0.000,-89.809,328.346,3727",0
1759046477.2877376,"-0.032,0.000,0.912,1.391,0.974,2.852,0.000,-89.807,328.559,2716",0
1759046477.3098974,"-0.032,0.000,0.912,1.461,0.904,2.574,0.000,-89.808,328.812,715",0
