Time,ax,ay,az,gx,gy ,gz ,r ,p,y,manual,heart
77,1.036,-0.104,-0.116,-1.39,4.52,3.69,-81.454,-138.132,0,0,376
98,1.028,-0.116,-0.132,1.74,4.66,2.85,-80.305,-138.702,27.239,0,348
118,1.024,-0.108,-0.108,1.18,3.41,2.92,-81.523,-135.01,27.178,0,329
140,1.032,-0.096,-0.128,-0.49,4.59,3.2,-81.193,-143.141,27.216,0,304
160,1.028,-0.096,-0.112,0.49,3.41,3.2,-81.84,-139.409,27.216,0,300
181,1.028,-0.1,-0.096,-0.35,2.99,3.2,-82.326,-133.841,27.216,0,301
202,1.028,-0.104,-0.104,0.07,2.57,2.92,-81.4,-136.052,27.216,0,303
223,1.032,-0.104,-0.108,0.35,1.88,2.64,-81.241,-132.964,27.216,0,320
244,1.028,-0.108,-0.112,-2.71,2.23,3.27,-81.864,-135.01,27.157,0,337
265,1.028,-0.108,-0.104,-1.11,2.23,3.2,-81.708,-133.929,27.298,0,327
285,1.024,-0.096,-0.108,-0.9,1.6,3.48,-81.974,-138.377,27.288,0,326
307,1.028,-0.1,-0.116,-1.67,1.88,3.62,-81.532,-139.247,27.458,0,384
327,1.028,-0.088,-0.108,-1.46,1.88,3.69,-82.288,-140.837,27.095,0,240
348,1.032,-0.092,-0.112,-2.43,1.6,3.9,-82.011,-140.61,27.109,0,207
369,1.032,-0.096,-0.096,-3.41,0.35,3.55,-82.035,-138.377,27.109,0,313
390,1.032,-0.096,-0.124,-4.17,1.74,3.69,-81.231,-141.126,27.109,0,334
411,1.032,-0.108,-0.136,-2.3,1.81,2.71,-81.986,-136.133,27.109,0,341
432,1.032,-0.104,-0.116,-6.61,1.67,3.2,-81.421,-138.132,27.086,0,369
452,1.02,-0.108,-0.112,-1.32,0.77,4.38,-81.333,-136.052,27.017,0,377
474,1.028,-0.116,-0.116,0.21,0.83,4.1,-80.939,-135.01,27.201,0,382
494,1.024,-0.108,-0.108,-1.88,1.88,4.66,-81.523,-135.01,26.975,0,387
516,1.032,-0.096,-0.108,-3.41,2.37,5.08,-82.035,-138.377,27.105,0,370
536,1.028,-0.092,-0.112,-2.57,2.37,5.22,-81.981,-140.61,27.099,0,362
557,1.024,-0.092,-0.112,-1.81,2.23,3.62,-81.5,-139.247,27.099,0,345
578,1.028,-0.108,-0.112,0.28,2.37,1.39,-80.627,-136.919,27.099,0,319
599,1.032,-0.112,-0.112,1.32,1.32,1.46,-82.347,-129.183,27.099,0,307
619,1.024,-0.112,-0.124,0.28,2.5,2.02,-80.738,-137.921,27.109,0,325
641,1.032,-0.108,-0.096,-0.21,1.46,3.2,-82.035,-131.643,27.115,0,328
661,1.028,-0.116,-0.108,0.28,1.25,2.78,-81.241,-132.964,26.906,0,324
683,1.024,-0.112,-0.12,0.7,1.11,2.16,-80.899,-136.985,26.941,0,329
703,1.028,-0.108,-0.108,1.04,0.56,2.57,-81.555,-135.01,27.084,0,318
723,1.028,-0.104,-0.108,0.9,0.21,3.2,-81.708,-136.091,27.107,0,298
745,1.028,-0.1,-0.108,0.7,-0.42,3.41,-81.549,-137.131,27.107,0,289
765,1.028,-0.108,-0.112,1.95,-0.42,2.85,-81.432,-136.052,27.107,0,292
786,1.032,-0.104,-0.116,2.02,-0.42,3.41,-81.421,-138.132,27.107,0,393
807,1.028,-0.112,-0.12,0.42,0.07,4.45,-80.934,-136.985,27.107,0,116
828,1.028,-0.116,-0.108,0.42,-1.18,3.83,-81.241,-132.964,26.952,0,326
849,1.028,-0.112,-0.12,1.39,-1.04,2.37,-80.934,-136.985,26.788,0,340
870,1.024,-0.112,-0.148,2.71,-0.35,2.57,-79.732,-142.894,26.915,0,352
890,1.028,-0.116,-0.124,0.49,-0.49,1.95,-81.555,-135.01,26.93,0,343
912,1.028,-0.112,-0.112,-0.49,-0.07,1.74,-80.15,-141.351,26.9,0,340
932,1.032,-0.116,-0.136,6.05,-1.74,2.5,-80.774,-132.099,26.9,0,343
953,1.032,-0.128,-0.124,4.94,-1.32,1.53,-80.208,-134.101,26.9,0,348
974,1.032,-0.112,-0.108,4.31,-2.3,0.49,-81.432,-133.968,26.9,0,353
995,1.032,-0.12,-0.132,4.38,-2.23,0.28,-80.199,-137.736,26.9,0,380
1016,1.024,-0.116,-0.14,3.13,-1.46,0.9,-79.938,-140.366,26.918,0,380
1037,1.02,-0.116,-0.132,3.48,-1.04,-0.49,-80.231,-138.702,27.185,0,368
1057,1.024,-0.128,-0.144,6.96,-1.04,-1.81,-79.452,-139.278,27.044,0,337
1079,1.024,-0.12,-0.128,5.43,-1.74,-1.95,-80.305,-138.702,27.095,0,312
1099,1.024,-0.116,-0.144,2.78,-1.6,-3.55,-80.113,-141.351,27.25,0,283
1121,1.028,-0.104,-0.132,3.41,-3.41,-5.29,-80.722,-141.777,27.25,0,279
1141,1.044,-0.092,-0.136,-3.27,-2.23,-5.08,-81.068,-145.934,27.25,0,273
1163,1.024,-0.088,-0.132,-5.5,-2.23,-6.61,-81.199,-146.321,27.25,0,283
1183,1.024,-0.096,-0.116,-3.48,-4.1,-9.32,-81.641,-140.4,27.25,0,304
1205,1.032,-0.088,-0.104,0.21,-5.15,-12.31,-82.486,-139.774,27.55,0,305
1225,1.048,-0.084,-0.104,-0.28,-4.1,-11.83,-82.735,-138.662,28,0,309
1246,1.036,-0.088,-0.092,4.45,-4.52,-10.99,-82.72,-133.791,28.118,0,317
1267,1.048,-0.092,-0.096,9.88,-4.87,-10.64,-83.583,-140.451,28.469,0,387
1288,1.056,-0.06,-0.1,8.42,-3.41,-11.27,-83.704,-149.047,28.484,0,64
1309,1.048,-0.076,-0.068,7.17,-3.76,-12.31,-84.448,-131.83,28.484,0,319
1330,1.052,-0.088,-0.136,11.34,-1.04,-13.36,-81.252,-147.106,28.484,0,314
1351,1.048,-0.068,-0.12,15.17,1.04,-13.63,-82.508,-150.472,28.484,0,318
1372,1.044,-0.024,-0.104,8.9,2.57,-13.5,-84.169,-167.018,28.484,0,344
1393,1.044,-0.024,-0.164,7.72,6.12,-14.96,-80.625,-167.918,29.689,0,368
1414,1.036,-0.052,-0.16,13.57,4.31,-16.21,-81.355,-163.868,30.133,0,383
1435,1.044,-0.028,-0.156,9.95,5.43,-18.16,-81.911,-175.377,30.388,0,397
1456,1.044,0.004,-0.148,4.66,6.82,-18.78,-81.935,178.465,30.755,0,403
1477,1.044,0.028,-0.156,3.13,8.7,-17.18,-81.374,169.837,30.921,0,387
1498,1.04,0.032,-0.152,-1.67,10.3,-17.11,-81.511,168.124,30.921,0,382
1519,1.032,0.04,-0.14,-4.66,10.5,-18.5,-81.975,164.067,30.921,0,368
1540,1.036,0.04,-0.164,-5.7,11.13,-19.48,-80.751,166.305,30.921,0,356
1561,1.04,0.048,-0.156,-11.41,12.24,-20.94,-80.102,161.978,30.921,0,365
1582,1.028,0.06,-0.152,-16.83,11.83,-21.43,-82.178,158.51,32.494,1,385
1603,1.036,0.044,-0.16,-19.34,12.03,-21.29,-80.906,164.636,33.105,1,407
1624,1.036,0.06,-0.164,-25.32,12.1,-22.26,-80.438,159.917,33.358,1,425
1645,1.044,0.068,-0.148,-30.05,13.01,-23.44,-81.139,155.335,33.948,1,443
1667,1.04,0.056,-0.128,-30.26,11.97,-25.53,-82.355,156.382,33.961,1,434
1687,1.044,0.056,-0.12,-30.05,11.48,-26.5,-82.777,154.995,33.961,1,426
