Timestamp,ESP32_Data,Manual
1759045454.632058,"-0.040,0.000,0.912,1.670,1.043,2.852,0.000,-89.807,272.395,3434",0
1759045454.9045796,"-0.036,0.000,0.912,1.461,1.183,2.991,0.000,-89.807,272.395,726",0
1759045454.9265783,"-0.036,0.000,0.912,1.322,0.904,2.574,0.000,-89.809,272.395,1931",0
1759045454.9485781,"-0.036,0.000,0.904,1.461,1.043,2.852,0.000,-89.809,272.395,4095",0
1759045454.9705782,"-0.036,0.000,0.904,1.322,1.113,2.922,0.000,-89.807,272.395,1768",0
1759045454.9925804,"-0.040,0.000,0.912,1.461,0.974,3.200,0.000,-89.807,272.395,795",0
1759045455.014578,"-0.032,-0.004,0.904,1.183,1.183,3.339,89.809,-45.000,272.395,3581",0
1759045455.036578,"-0.032,-0.004,0.904,1.461,1.183,2.991,89.809,-45.000,272.395,3131",0
1759045455.058578,"-0.036,0.000,0.908,1.322,0.835,2.991,0.000,-89.808,272.395,600",0
1759045455.0805793,"-0.036,0.000,0.908,1.322,1.043,2.783,0.000,-89.808,272.395,2314",0
1759045455.1025784,"-0.036,0.000,0.908,1.322,1.183,2.922,0.000,-89.808,272.395,4095",0
1759045455.1245809,"-0.028,0.000,0.904,1.461,1.252,2.852,0.000,-89.809,272.395,1421",0
1759045455.146579,"-0.028,0.000,0.904,1.183,1.252,3.061,0.000,-89.809,272.395,999",0
1759045455.1685784,"-0.036,0.004,0.908,1.113,1.322,3.130,0.252,-89.808,271.294,3854",0
1759045455.1915789,"-0.036,0.004,0.908,1.183,1.600,2.991,0.000,-89.809,271.479,2823",0
1759045455.2135787,"-0.036,0.000,0.904,1.113,1.461,2.991,0.000,-89.809,272.955,569",0
1759045455.2355812,"-0.036,0.000,0.904,1.252,1.113,2.991,0.000,-89.807,272.786,2633",0
1759045455.2575781,"-0.040,0.000,0.912,1.391,1.113,2.783,0.000,-89.807,272.259,3978",0
1759045455.2795782,"-0.036,-0.004,0.908,1.391,0.904,2.783,89.808,-45.000,272.965,1161",0
1759045455.3015804,"-0.036,-0.004,0.908,1.391,1.043,2.713,0.000,-89.808,273.506,1275",0
1759045455.3235784,"-0.036,0.000,0.908,1.322,0.974,3.130,0.000,-89.808,273.131,4010",0
1759045455.3455787,"-0.036,0.000,0.908,1.530,1.322,3.061,0.252,-89.808,272.950,2457",0
1759045455.367578,"-0.036,0.004,0.908,1.461,1.322,2.922,0.252,-89.808,273.512,568",0
1759045455.3900964,"-0.040,-0.004,0.912,1.530,1.043,2.783,89.807,-44.999,272.770,3039",0
1759045455.4120991,"-0.040,-0.004,0.912,1.600,0.974,2.991,89.808,-45.000,272.231,3646",0
1759045455.4340966,"-0.036,-0.004,0.908,1.461,0.974,2.991,89.808,-45.000,272.217,808",0
1759045455.4560976,"-0.036,-0.004,0.908,1.461,1.183,3.270,0.000,-89.808,271.663,1723",0
1759045455.478097,"-0.032,0.000,0.908,1.600,0.835,3.200,0.000,-89.808,271.880,4095",0
1759045455.5000992,"-0.036,0.000,0.908,1.600,0.974,2.991,0.000,-89.808,271.864,1960",0
1759045455.5220966,"-0.036,0.000,0.908,1.391,0.835,2.852,0.000,-89.808,271.864,687",0
1759045455.544097,"-0.032,0.000,0.908,1.461,1.183,2.783,0.000,-89.808,271.864,3385",0
1759045455.5660994,"-0.032,0.000,0.908,1.252,1.252,2.852,0.252,-89.808,271.864,3323",0
1759045455.588097,"-0.036,0.004,0.908,1.113,1.183,3.130,0.252,-89.808,271.864,652",0
1759045455.6100967,"-0.036,0.000,0.908,1.530,1.113,2.922,0.000,-89.808,271.864,2107",0
1759045455.6320968,"-0.036,0.000,0.908,1.530,0.765,3.061,0.000,-89.808,271.864,4095",0
1759045455.6540966,"-0.040,0.000,0.908,1.600,0.765,3.270,0.000,-89.808,271.864,1608",0
1759045455.6771007,"-0.040,0.000,0.908,1.530,0.696,3.130,0.000,-89.809,271.864,856",0
1759045455.699107,"-0.040,0.000,0.904,1.252,1.183,2.922,0.000,-89.809,271.864,3677",0
1759045455.7211068,"-0.040,0.000,0.904,1.183,1.252,2.991,0.000,-89.809,271.864,3037",0
1759045455.7431068,"-0.032,0.000,0.904,1.391,1.322,2.852,0.000,-89.809,271.864,586",0
1759045455.765109,"-0.036,0.000,0.904,1.183,1.252,2.852,0.000,-89.809,271.864,2392",0
1759045455.7871068,"-0.036,0.000,0.904,1.391,1.183,3.130,0.000,-89.809,271.864,4095",0
1759045455.8091068,"-0.040,0.000,0.904,1.461,0.904,3.061,0.000,-89.809,271.864,1372",0
1759045455.8311071,"-0.040,0.000,0.904,1.530,1.113,3.061,0.000,-89.807,271.864,1039",0
1759045455.853107,"-0.036,0.000,0.912,1.391,1.043,2.713,0.000,-89.807,271.864,3878",0
1759045455.8751068,"-0.036,0.000,0.908,1.252,1.322,2.922,0.000,-89.808,271.864,2777",0
1759045455.8971076,"-0.036,0.000,0.908,1.113,1.322,2.713,0.000,-89.808,272.032,556",0
1759045455.9191093,"-0.036,0.000,0.904,1.252,1.391,2.991,0.000,-89.809,272.555,2702",0
1759045455.941107,"-0.036,0.000,0.904,1.322,1.322,3.061,89.809,-45.000,272.368,3944",0
1759045455.9631069,"-0.036,-0.004,0.904,1.530,1.043,3.061,89.809,-45.000,272.395,1080",0
1759045455.985107,"-0.032,-0.004,0.904,1.461,0.904,2.991,89.809,-45.000,272.950,1404",0
1759045456.007107,"-0.032,-0.004,0.904,1.391,1.183,2.783,89.809,-45.000,272.760,4094",0
1759045456.0291097,"-0.036,0.000,0.908,1.670,0.835,2.713,0.000,-89.808,272.401,2267",0
1759045456.051107,"-0.036,0.000,0.908,1.600,0.974,2.922,0.000,-89.808,272.765,589",0
1759045456.0731084,"-0.036,0.000,0.908,1.322,1.113,3.061,0.000,-89.808,272.945,3143",0
1759045456.0951068,"-0.036,0.000,0.908,1.391,1.322,2.991,89.808,-45.000,272.016,3595",0
1759045456.1171074,"-0.036,-0.004,0.908,1.322,1.391,2.991,89.808,-45.000,270.880,783",0
1759045456.1391072,"-0.032,0.000,0.908,1.252,1.461,2.991,0.000,-89.808,271.110,1833",0
1759045456.1611068,"-0.032,0.000,0.908,1.461,1.183,2.852,89.809,-44.999,272.598,4095",0
1759045456.1836228,"-0.040,-0.004,0.904,1.600,0.626,2.922,89.809,-44.999,272.615,1822",0
1759045456.206623,"-0.040,-0.004,0.904,1.530,0.835,2.991,0.000,-89.809,271.880,748",0
1759045456.228623,"-0.036,0.000,0.904,1.530,1.043,2.991,0.000,-89.809,272.224,3528",0
1759045456.250623,"-0.036,0.000,0.908,1.322,1.043,2.991,0.000,-89.808,272.224,3208",0
1759045456.2726228,"-0.036,0.000,0.908,1.461,1.043,3.061,89.808,-45.000,272.224,618",0
1759045456.294623,"-0.036,-0.004,0.908,1.670,1.322,2.922,89.808,-45.000,272.224,2283",0
1759045456.3166242,"-0.036,-0.004,0.908,1.670,1.183,2.852,0.000,-89.807,272.224,4095",0
1759045456.338623,"-0.036,0.000,0.912,1.530,0.835,2.922,0.000,-89.807,272.224,1431",0
1759045456.3606257,"-0.040,0.000,0.900,1.461,1.043,2.852,0.000,-89.810,272.224,1004",0
1759045456.382623,"-0.040,0.000,0.900,1.530,1.043,2.991,0.000,-89.810,272.224,3823",0
1759045456.404624,"-0.036,0.000,0.904,1.600,0.974,2.852,0.000,-89.809,272.224,2842",0
1759045456.4266288,"-0.036,0.000,0.904,1.600,0.974,3.270,89.808,-45.000,272.224,542",0
1759045456.4486263,"-0.036,-0.004,0.908,1.600,0.974,2.783,89.808,-45.000,272.224,2669",0
1759045456.470624,"-0.032,-0.004,0.912,1.322,0.974,3.200,89.807,-45.000,272.224,1945",0
1759045456.4926295,"-0.036,0.000,0.904,1.322,1.113,3.061,0.000,-89.809,272.224,729",0
1759045456.5151522,"-0.036,0.000,0.904,1.322,1.043,3.200,0.000,-89.809,272.224,3450",0
1759045456.5371494,"-0.036,0.000,0.908,1.530,0.835,2.991,0.000,-89.808,272.224,3309",0
1759045456.5591512,"-0.036,0.000,0.908,1.530,0.835,2.783,0.000,-89.810,272.224,667",0
1759045456.5811515,"-0.036,0.000,0.900,1.530,0.974,2.643,0.000,-89.810,272.224,2063",0
1759045456.60315,"-0.036,-0.004,0.904,1.391,0.974,2.991,89.809,-45.000,272.586,4095",0
