Time,ax,ay,az,gx,gy ,gz ,r ,p,y,manual,heart
77,0.952,0.252,0.216,-0.07,1.74,4.31,-70.785,49.402,0,0,115
98,0.956,0.252,0.212,0.77,1.32,4.24,-70.998,49.931,44.031,0,112
118,0.968,0.256,0.216,1.53,-0.49,3.97,-70.918,49.848,44.304,0,85
139,0.968,0.264,0.224,0.49,-1.04,4.59,-70.325,49.69,44.304,0,78
160,0.964,0.26,0.184,1.04,-6.4,6.05,-71.721,54.717,44.304,0,89
181,0.992,0.284,0.172,-1.39,-8.7,7.51,-71.5,58.804,44.304,0,97
201,1.024,0.284,0.168,-0.83,0.63,5.01,-72.145,59.398,44.304,0,104
222,0.992,0.252,0.26,-2.78,4.17,0.83,-69.267,41.944,43.872,0,140
243,0.964,0.244,0.284,-3.27,5.5,1.39,-68.792,41.944,43.779,0,153
264,0.952,0.252,0.276,-1.81,2.64,3.41,-67.593,41.685,43.777,0,166
284,0.936,0.272,0.276,1.74,-1.04,3.41,-67.515,44.585,43.775,0,176
305,0.924,0.26,0.236,5.36,-2.37,3.27,-69.197,47.774,43.654,0,159
326,0.92,0.256,0.192,1.81,-1.18,4.59,-70.826,53.134,43.654,0,198
347,0.92,0.256,0.176,-1.04,-0.63,5.91,-71.347,55.496,43.654,0,217
367,0.936,0.256,0.148,0.21,0.21,4.52,-72.473,59.971,43.654,0,238
389,0.964,0.256,0.168,-0.21,0.56,2.92,-72.384,56.729,43.654,0,242
409,0.984,0.248,0.172,-1.25,2.02,2.71,-72.189,55.309,43.7,0,271
430,0.98,0.256,0.18,-2.23,2.16,3.2,-72.104,54.297,43.764,0,286
450,0.972,0.248,0.188,-0.28,1.6,3.27,-71.753,52.129,43.682,0,361
472,0.964,0.248,0.2,1.6,0.77,3.06,-71.717,51.119,43.442,0,299
492,0.968,0.26,0.2,0.9,0.21,3.41,-71.285,52.435,43.596,0,181
513,0.964,0.252,0.168,4.38,0,3.2,-72.564,56.314,43.599,0,268
533,0.964,0.256,0.244,-1.04,-0.28,4.45,-69.859,46.378,43.599,0,276
555,0.96,0.244,0.188,-2.92,0.77,3.9,-72.216,52.39,43.599,0,277
575,0.948,0.256,0.196,-1.04,1.46,3.76,-71.222,52.565,43.599,0,281
595,0.956,0.24,0.208,2.3,1.11,2.64,-72.309,49.24,43.599,0,316
617,0.968,0.236,0.188,2.16,2.92,2.3,-72.088,51.23,43.504,0,332
637,0.968,0.244,0.208,0.97,4.17,2.78,-71.521,49.479,43.745,0,351
658,0.972,0.256,0.216,1.39,4.45,2.57,-70.991,49.848,43.508,0,367
678,0.968,0.256,0.216,2.57,3.62,1.81,-70.918,49.848,43.586,0,359
700,0.968,0.268,0.22,2.23,2.5,2.02,-70.298,50.621,43.583,0,333
720,0.964,0.256,0.224,3.06,1.6,2.16,-70.569,48.818,43.583,0,295
741,0.96,0.264,0.22,2.37,1.18,2.37,-70.309,50.198,43.583,0,273
761,0.964,0.264,0.22,1.88,0.83,2.23,-70.385,50.198,43.583,0,262
783,0.952,0.252,0.196,2.5,0.7,2.37,-70.138,50.714,43.583,0,284
803,0.94,0.264,0.244,1.32,0.97,2.02,-70.484,51.77,43.786,0,298
824,0.952,0.26,0.192,0.49,1.81,2.5,-71.071,49.931,43.736,0,307
845,0.952,0.248,0.208,2.16,0,2.71,-71.445,50.017,43.726,1,314
866,0.968,0.26,0.208,-0.21,0.63,3.2,-71.024,51.344,43.59,1,310
886,0.968,0.26,0.212,0.77,0.28,3.2,-70.891,50.81,43.98,1,293
907,0.976,0.264,0.208,-0.14,0.56,2.71,-71.004,51.77,43.98,1,285
928,0.972,0.26,0.208,0.28,0.7,2.71,-71.096,51.344,43.98,1,282
949,0.968,0.26,0.208,1.32,0.63,2.85,-71.024,51.344,43.98,1,283
969,0.96,0.264,0.2,1.53,0.42,2.92,-70.971,52.857,43.98,1,305
990,0.96,0.26,0.2,0.9,0.28,3.34,-71.14,52.435,43.833,1,323
1010,0.96,0.252,0.2,1.6,-0.35,3.55,-71.177,51.453,43.648,1,325
1032,0.96,0.252,0.208,0.83,-0.63,3.69,-70.803,51.344,43.669,1,338
1052,0.972,0.26,0.208,1.04,-0.7,3.34,-71.096,51.344,43.689,1,333
1073,0.976,0.26,0.212,0,-0.21,3.55,-71.036,50.81,43.846,1,305
1094,0.972,0.26,0.196,-0.77,0.42,3.9,-71.485,52.993,43.846,1,299
1115,0.972,0.26,0.204,-0.35,-0.35,3.97,-71.227,51.886,43.846,1,317
1135,0.976,0.26,0.216,0.14,-1.25,4.24,-70.903,50.285,43.846,1,406
1157,0.976,0.256,0.216,-0.77,-2.43,4.66,-71.064,49.848,43.846,1,201
1177,0.976,0.252,0.196,3.13,-2.37,3.69,-73.049,57.176,43.552,1,340
1198,0.964,0.26,0.18,-3.41,-2.3,4.31,-70.381,46.401,43.531,1,345
1219,0.98,0.244,0.2,-3.62,-1.11,2.57,-71.753,52.129,43.646,1,353
1240,0.956,0.256,0.192,-1.46,-1.39,3.97,-71.498,53.134,43.457,1,360
1260,0.972,0.256,0.212,1.04,-1.81,3.06,-71.127,50.375,43.453,1,338
1282,0.98,0.248,0.18,2.02,-1.25,2.57,-72.641,54.032,43.453,1,337
1302,0.98,0.256,0.204,0.83,0.14,3.34,-71.535,51.453,43.453,1,343
1323,0.984,0.256,0.2,1.39,-0.49,2.71,-71.735,52.005,43.453,1,357
1344,0.984,0.264,0.2,0.9,-0.77,3.2,-71.753,52.129,43.453,1,373
1364,0.96,0.248,0.192,2.09,-1.74,3.27,-71.813,52.7,43.324,1,390
1385,0.964,0.252,0.188,1.74,-1.67,3.06,-72.081,53.28,43.344,1,364
1406,0.976,0.252,0.196,-0.14,-1.18,3.41,-71.892,52.129,43.155,1,341
1427,0.972,0.256,0.192,-0.49,-0.83,3.41,-71.783,53.134,43.36,1,333
1447,0.98,0.252,0.184,0.83,-0.56,3.2,-72.344,53.869,43.308,1,304
1469,0.98,0.26,0.208,-1.25,-0.7,3.48,-71.24,51.344,43.308,1,297
1489,0.98,0.256,0.176,-0.9,0.7,3.69,-72.417,55.496,43.308,1,294
1510,0.972,0.248,0.184,-0.07,-0.56,3.97,-72.38,53.431,43.308,1,292
1530,0.98,0.256,0.188,-0.97,0.28,3.34,-72.139,53.869,43.308,1,296
1552,0.968,0.248,0.192,-0.49,0.14,3.41,-72.022,52.7,43.25,1,325
1572,0.98,0.252,0.184,-2.09,1.74,3.48,-72.515,53.431,42.834,1,337
1593,0.968,0.244,0.196,-1.88,1.53,3.76,-72.088,51.23,43.163,1,341
1614,0.968,0.248,0.184,-0.07,0.9,3.83,-72.312,53.431,42.941,1,345
1635,0.976,0.26,0.192,-0.42,1.46,3.62,-71.683,53.56,42.92,1,321
1655,0.98,0.252,0.184,-0.56,1.39,3.97,-72.344,53.869,42.916,1,315
1677,0.972,0.256,0.184,-0.21,0.63,3.69,-72.035,54.297,42.916,1,303
1697,0.976,0.252,0.188,0.77,0.28,3.13,-72.15,53.28,42.916,1,292
1718,0.972,0.252,0.188,-0.35,-0.42,3.06,-72.574,54.032,42.916,1,294
1739,0.968,0.252,0.184,0,-0.56,3.55,-72.183,52.839,42.933,1,319
1760,0.972,0.248,0.176,0.97,-0.63,3.2,-72.448,53.431,42.859,1,330
1780,0.972,0.248,0.18,1.04,-0.56,3.27,-72.507,54.032,42.687,1,331
1802,0.98,0.24,0.176,1.25,0.07,2.78,-73.112,53.75,42.838,1,329
1822,0.976,0.252,0.176,-0.9,0.49,3.06,-72.524,55.073,42.794,1,312
1843,0.98,0.248,0.176,0.21,-0.21,2.92,-72.766,54.642,42.725,1,318
1864,0.984,0.248,0.184,1.32,-0.97,2.57,-72.582,53.431,42.725,1,378
1885,0.984,0.252,0.184,1.25,-0.07,2.64,-72.412,53.869,42.725,1,207
1905,0.988,0.252,0.18,3.06,0.63,2.85,-73.988,60.559,42.725,1,305
1927,0.984,0.252,0.156,-0.77,0.14,4.59,-71.732,48.949,42.725,1,304
1947,0.988,0.232,0.176,-3.48,2.16,4.24,-72.756,55.261,42.891,1,320
1968,0.968,0.252,0.156,-1.11,1.04,5.08,-72.982,58.245,42.641,1,328
1989,0.98,0.24,0.176,2.09,0.77,3.69,-73.112,53.75,42.846,1,334
2010,1,0.248,0.164,0.49,1.46,3.48,-73.447,56.528,42.542,1,327
2030,0.992,0.248,0.176,0.28,2.5,3.34,-72.962,54.642,42.459,1,308
2052,0.984,0.256,0.172,0.77,2.23,3.13,-72.603,56.108,42.459,1,312
2072,0.976,0.248,0.176,1.04,1.39,3.13,-72.689,55.261,42.459,1,312
2093,0.968,0.252,0.176,1.25,1.46,3.06,-72.75,56.948,42.459,1,306
2113,0.972,0.244,0.168,1.88,1.25,3.27,-73.233,55.012,42.459,1,314
2135,0.964,0.248,0.168,-0.21,2.16,3.34,-72.744,55.89,42.567,1,304
2155,0.968,0.244,0.176,-0.14,2.71,3.06,-72.74,54.201,42.568,1,305
2176,0.976,0.24,0.164,1.32,2.99,3.34,-73.42,55.658,42.424,1,306
2197,0.988,0.252,0.204,-1.25,4.8,2.71,-71.838,51.013,42.525,1,307
2217,0.988,0.248,0.16,-1.46,5.15,3.13,-73.374,57.176,42.554,1,282
2238,0.984,0.252,0.184,-2.37,4.66,3.34,-72.412,53.869,42.554,1,277
2259,0.976,0.248,0.184,-1.95,4.73,2.92,-72.276,53.869,42.554,1,273
2280,0.976,0.244,0.196,-1.53,5.01,3.34,-72.294,51.23,42.554,1,268
2300,0.976,0.24,0.2,-0.97,3.97,3.76,-72.419,49.724,42.554,1,284
2322,0.972,0.24,0.192,0,2.37,3.34,-72.458,51.344,42.602,1,295
2342,0.94,0.248,0.192,-0.14,1.67,3.55,-71.554,52.257,42.528,1,310
2363,0.96,0.248,0.184,0.97,0.35,3.69,-72.174,53.431,42.438,1,315
2384,0.964,0.24,0.184,1.04,-0.56,3.62,-72.588,52.528,42.487,1,314
2405,0.98,0.244,0.188,0.35,-0.77,3.83,-72.557,52.39,42.585,1,293
2425,0.992,0.244,0.188,-0.56,-0.49,3.62,-72.755,52.39,42.585,1,286
2447,0.972,0.248,0.184,0.77,-0.9,3.62,-72.613,53.588,42.585,1,281
2467,0.976,0.248,0.192,0.63,-0.97,3.13,-72.15,53.28,42.585,1,279
2488,0.984,0.248,0.184,0.63,-0.77,2.64,-73.22,52.671,42.585,1,291
2509,0.964,0.232,0.18,0.9,-1.11,3.34,-73.064,52.197,42.445,1,320
2530,0.976,0.232,0.188,1.18,-0.49,3.13,-72.994,50.984,42.442,1,425
2550,0.976,0.236,0.168,1.04,0.42,2.37,-73.474,54.558,42.232,1,294
2572,0.984,0.236,0.188,3.34,1.11,2.16,-72.958,51.463,42.419,1,352
2592,0.988,0.244,0.14,0.49,-0.14,1.81,-74.112,60.159,42.433,1,314
2613,0.988,0.244,0.2,-0.77,1.74,3.27,-72.779,55.689,42.433,1,314
2634,0.976,0.256,0.18,-2.09,-0.63,5.36,-72.259,52.257,42.433,1,320
2655,0.988,0.244,0.192,2.23,-1.46,4.87,-73.134,54.201,42.433,1,319
2675,0.996,0.232,0.172,1.25,-0.77,3.97,-73.835,53.451,42.433,1,334
2697,0.96,0.244,0.164,-0.21,0.63,6.12,-72.979,56.098,42.262,1,375
2717,0.972,0.244,0.172,2.71,-0.83,5.08,-72.932,54.823,42.255,1,389
2738,0.976,0.24,0.16,1.04,-0.56,4.17,-73.541,56.314,42.211,1,408
2759,0.964,0.224,0.176,1.67,-1.46,2.57,-73.542,51.847,42.167,1,409
2780,0.96,0.22,0.176,1.81,-1.53,2.09,-73.65,51.344,42.234,1,368
2800,0.956,0.216,0.172,2.16,-1.04,1.39,-73.239,52.338,42.234,1,336
2822,0.952,0.236,0.168,0.49,-0.14,1.53,-73.405,55.208,42.234,1,322
2842,0.972,0.232,0.168,1.6,0.28,2.85,-73.356,55.658,42.234,1,319
2863,0.976,0.232,0.2,-0.14,1.81,1.67,-72.581,49.24,42.234,1,316
2884,0.968,0.228,0.156,0.7,0,0.97,-74.077,55.624,42.193,1,348
2905,0.988,0.224,0.176,-1.18,0.49,-0.07,-73.921,51.847,42.095,1,347
2925,0.96,0.236,0.168,-2.09,1.32,2.23,-73.214,54.558,42.151,1,363
2947,0.968,0.24,0.16,-3.97,4.52,1.81,-73.412,56.314,42.306,1,357
2967,0.96,0.244,0.148,-8,3.62,2.23,-73.45,58.765,42.246,1,321
2988,0.968,0.248,0.16,-5.7,1.18,3.76,-72.646,55.689,42.278,1,313
3009,0.972,0.252,0.176,-2.78,-0.83,3.13,-72.564,56.314,42.278,1,324
3030,0.972,0.248,0.16,-3.83,0.07,2.64,-73.42,55.658,42.278,0,306
3050,0.988,0.236,0.168,-4.31,1.6,1.39,-73.664,54.558,42.278,0,306
3072,0.968,0.232,0.164,-5.5,2.57,0.28,-73.648,54.748,42.311,0,329
3092,0.98,0.232,0.192,-1.81,0.35,-1.11,-72.924,50.393,41.999,0,343
3112,1,0.236,0.188,2.3,0.14,-3.13,-73.215,51.463,42.065,0,366
3134,0.992,0.212,0.172,1.46,0.83,-4.59,-74.619,50.951,42.047,0,344
3154,0.988,0.224,0.168,-0.77,0.49,-3.9,-74.183,53.134,42.207,0,326
3175,0.988,0.232,0.184,4.52,-0.9,-3.55,-72.392,50.766,42.163,0,388
3196,0.98,0.244,0.2,7.93,-2.37,-3.55,-72.813,53.588,42.163,0,282
3217,0.972,0.248,0.156,3.27,-1.18,-2.02,-73.345,58.5,42.163,0,313
3237,0.972,0.24,0.116,7.1,-2.3,-1.88,-74.67,64.209,42.163,0,296
3259,0.984,0.248,0.212,6.05,-0.9,-0.07,-71.661,49.479,42.163,0,358
3279,0.96,0.26,0.148,1.95,-1.6,1.95,-72.696,60.355,42.768,0,348
3300,0.968,0.256,0.144,5.08,-0.7,4.03,-73.126,60.647,43.015,0,365
3320,0.996,0.252,0.172,8.7,-0.97,5.15,-72.974,55.689,42.872,0,384
3342,0.992,0.256,0.16,4.52,1.39,6.19,-72.853,57.762,43.02,0,344
