Time,ax,ay,az,gx,gy ,gz ,r ,p,y,manual,heart
77,1.056,0.16,-0.124,4.17,4.1,5.43,-79.154,127.785,0,0,373
98,1.056,0.144,-0.116,2.64,4.38,3.83,-80.074,128.863,38.907,0,347
118,1.056,0.16,-0.12,0.7,3.76,3.13,-79.281,126.879,39.116,0,325
140,1.044,0.164,-0.108,-1.11,3.69,3.27,-79.353,123.375,38.968,0,312
160,1.04,0.152,-0.136,-0.7,4.38,2.64,-78.91,131.83,38.962,0,313
181,1.036,0.172,-0.076,-3.55,3.13,3.06,-79.718,113.847,38.881,0,313
202,1.032,0.164,-0.132,-3.06,4.66,3.69,-78.822,125.282,38.881,0,320
223,1.016,0.164,-0.092,-2.99,2.92,3.9,-79.259,121.382,38.881,0,326
243,1.012,0.164,-0.108,-4.03,3.27,3.34,-78.517,121.544,38.881,0,327
265,1.012,0.16,-0.112,-5.43,3.2,4.31,-79.083,125.001,38.881,0,332
285,1.02,0.156,-0.108,-5.63,3.27,4.31,-79.468,124.704,38.956,0,333
306,1.024,0.152,-0.096,-3.9,1.04,4.45,-80.048,122.285,38.993,0,325
327,1.024,0.156,-0.12,-3.27,-0.21,4.38,-79.126,127.578,38.998,0,318
348,1.028,0.152,-0.14,-0.97,-0.49,2.64,-78.64,132.656,38.901,0,315
369,1.032,0.168,-0.136,-0.49,-0.63,2.09,-78.176,129,38.836,0,308
390,1.04,0.16,-0.14,0,-2.02,1.95,-78.684,129.532,38.802,0,306
410,1.036,0.156,-0.124,2.71,-4.24,1.88,-78.992,127.785,38.802,0,324
432,1.04,0.16,-0.128,2.37,-1.81,0.7,-78.313,126.665,38.802,0,325
452,1.024,0.168,-0.132,0.97,0.56,0.21,-78.22,128.167,38.802,0,323
473,1.008,0.168,-0.116,0.56,-0.56,2.09,-78.556,124.633,38.923,0,328
494,1.012,0.164,-0.112,0.56,-1.39,2.43,-78.903,124.339,39.063,0,368
515,1.008,0.172,-0.12,-0.21,-0.21,1.53,-78.253,124.912,39.081,0,362
535,1.004,0.176,-0.116,-3.34,0.42,2.23,-78.149,123.398,38.835,0,215
557,1.008,0.18,-0.128,0,-2.85,1.74,-76.338,134.351,39.09,0,311
577,1.02,0.18,-0.144,1.04,-4.45,4.52,-78.807,113.06,39.029,0,320
598,1.048,0.188,-0.12,-5.63,0.28,3.55,-77.642,125.083,39.029,0,328
619,1.036,0.184,-0.136,-4.52,-0.35,3.06,-77.552,126.479,39.029,0,336
640,1.048,0.172,-0.12,-1.46,-2.99,4.1,-78.689,124.912,39.029,0,342
660,1.036,0.156,-0.144,-0.14,-1.53,2.78,-78.425,132.719,39.015,0,350
681,1.044,0.16,-0.12,-1.53,-0.63,2.78,-79.161,126.879,38.933,0,353
702,1.036,0.156,-0.128,-0.42,0.14,2.85,-78.984,129.379,38.907,0,363
722,1.032,0.156,-0.124,0,0.56,2.71,-79.077,128.49,38.788,0,368
744,1.032,0.164,-0.136,0.35,0.83,2.64,-78.309,128.167,38.855,0,344
764,1.032,0.156,-0.132,0.42,1.74,2.92,-78.522,127.981,38.671,0,320
785,1.02,0.16,-0.128,0.56,1.88,3.48,-78.653,127.102,38.671,0,309
806,1.028,0.168,-0.128,-0.07,2.09,3.27,-78.396,127.313,38.671,0,309
827,1.024,0.168,-0.144,1.81,2.64,3.13,-77.813,130.611,38.671,0,309
848,1.02,0.172,-0.128,1.32,2.23,3.48,-78.135,126.665,38.671,0,316
869,1.024,0.168,-0.148,1.25,1.53,3.97,-77.672,131.388,38.664,0,311
889,1.028,0.164,-0.128,1.18,1.25,3.41,-78.565,127.981,38.659,0,312
911,1.032,0.16,-0.136,0.49,1.67,3.27,-78.565,127.981,38.784,0,312
